WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,Sum of AGE,LOT_NO,SUBLOT_NO,Sum of Inventory Pallets,ALLOCATED_ORDER_NUM,Allocation Date
ID002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,44,1052508707,300947178,1,"",
ID002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,44,1052508707,300947179,1,"",
ID002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,44,1052508707,300947180,1,"",
ID002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,44,1052508707,300947181,1,"",
ID002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,44,1052508707,300947182,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512201,300995219,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512201,300995220,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512201,300995221,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512201,300995222,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512202,300995342,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512202,300995343,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512202,300995344,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512202,300995345,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512202,300995398,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512202,300995399,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512202,300995400,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512202,300995401,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512203,300995402,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512203,300995403,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512203,300995405,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512203,300995406,1,"",
