ALLOCATED_ORDER_NUM,WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,AGE,Sum of Sum of Inventory Pallets,Min of W_INSERT_DT,,,ALLOCATED_ORDER_NUM,WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,AGE,Sum of Sum of Inventory Pallets,Min of W_INSERT_DT
1447506,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,21,28,5/7/2025,,,1447506,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,21,28,45784
1447506,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,22,15,5/7/2025,,,1447506,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,22,15,45784
1447506,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,27,28,5/7/2025,,,1447506,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,27,28,45784
1447506,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,28,15,5/8/2025,,,1447506,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,28,15,45785
1447506,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,29,15,5/9/2025,,,1447506,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,29,15,45786
1447506,ID010,310015,ID002,101,3117A-9999A,21,2,5/7/2025,,,1447506,ID010,310015,ID002,101,3117A-9999A,21,2,45784
1447506,ID010,310015,ID002,101,3117A-9999A,22,2,5/8/2025,,,1447506,ID010,310015,ID002,101,3117A-9999A,22,2,45785
1447552,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,19,15,5/7/2025,,,1447552,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,19,15,45784
1447552,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,20,50,5/7/2025,,,1447552,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,20,50,45784
1447552,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,21,5,5/7/2025,,,1447552,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,21,5,45784
1447552,ID010,310015,ID002,101,3117A-9999A,20,3,5/7/2025,,,1447552,ID010,310015,ID002,101,3117A-9999A,20,3,45784
1447552,ID010,310015,ID002,102,9999A,20,2,5/7/2025,,,1447552,ID010,310015,ID002,102,9999A,20,2,45784
1450501,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,24,5/7/2025,,,1450501,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,24,45784
1450501,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,8,5/7/2025,,,1450501,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,8,45784
1450501,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,15,17,5/7/2025,,,1450501,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,15,17,45784
1450501,ID010,310015,ID002,101,3123A-3132A-9999A-9999E,13,11,5/7/2025,,,1450501,ID010,310015,ID002,101,3123A-3132A-9999A-9999E,13,11,45784
1450503,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,8,5/7/2025,,,1450503,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,8,45784
1450503,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,8,5/8/2025,,,1450503,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,8,45785
1450503,ID010,310015,ID002,101,3123A-3123A-3123A-3132A-9999A-3132A-9999A-9999E,13,7,5/7/2025,,,1450503,ID010,310015,ID002,101,3123A-3123A-3123A-3132A-9999A-3132A-9999A-9999E,13,7,45784
1450503,ID010,310015,ID002,101,3123A-3123A-3123A-3132A-9999A-3132A-9999A-9999E,14,7,5/8/2025,,,1450503,ID010,310015,ID002,101,3123A-3123A-3123A-3132A-9999A-3132A-9999A-9999E,14,7,45785
1450503,ID010,310015,ID002,101,3123A-3132A-9999A-9999E,13,13,5/7/2025,,,1450503,ID010,310015,ID002,101,3123A-3132A-9999A-9999E,13,13,45784
1450503,ID010,310015,ID002,101,3123A-3132A-9999A-9999E,14,13,5/8/2025,,,1450503,ID010,310015,ID002,101,3123A-3132A-9999A-9999E,14,13,45785
1450503,ID010,310015,ID002,101,3123A-9999A-3132A-9999A-9999E,13,1,5/7/2025,,,1450503,ID010,310015,ID002,101,3123A-9999A-3132A-9999A-9999E,13,1,45784
1450503,ID010,310015,ID002,101,3123A-9999A-3132A-9999A-9999E,14,1,5/8/2025,,,1450503,ID010,310015,ID002,101,3123A-9999A-3132A-9999A-9999E,14,1,45785
1450503,ID010,310015,ID002,101,3132A,11,15,5/7/2025,,,1450503,ID010,310015,ID002,101,3132A,11,15,45784
1450503,ID010,310015,ID002,101,3132A,12,31,5/7/2025,,,1450503,ID010,310015,ID002,101,3132A,12,31,45784
1450503,ID010,310015,ID002,101,3132A,13,16,5/8/2025,,,1450503,ID010,310015,ID002,101,3132A,13,16,45785
1451467,ID010,310015,ID002,101,3117A-3123A-3123A-3132A-9999A-9999E,15,1,5/8/2025,,,1451467,ID010,310015,ID002,101,3117A-3123A-3123A-3132A-9999A-9999E,15,1,45785
1451467,ID010,310015,ID002,101,3117A-3123A-3123A-3132A-9999A-9999E,16,1,5/9/2025,,,1451467,ID010,310015,ID002,101,3117A-3123A-3123A-3132A-9999A-9999E,16,1,45786
1451467,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,11,12,5/8/2025,,,1451467,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,11,12,45785
1451467,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,12,12,5/9/2025,,,1451467,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,12,12,45786
1451467,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,11,47,5/8/2025,,,1451467,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,11,47,45785
1451467,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,47,5/9/2025,,,1451467,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,47,45786
1451606,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,10,16,5/10/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,10,16,45787
1451606,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,11,16,5/11/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,11,16,45788
1451606,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,12,16,5/12/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,12,16,45789
1451606,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,16,5/13/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,16,45790
1451606,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,16,5/14/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,16,45791
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,10,24,5/10/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,10,24,45787
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,11,28,5/10/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,11,28,45787
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,28,5/11/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,28,45788
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,29,5/10/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,29,45787
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,29,5/11/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,29,45788
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,15,5,5/12/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,15,5,45789
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,16,1,5/13/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,16,1,45790
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,17,1,5/14/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,17,1,45791
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,30,15,5/10/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,30,15,45787
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,31,15,5/11/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,31,15,45788
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,32,15,5/12/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,32,15,45789
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,33,15,5/13/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,33,15,45790
1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,34,15,5/14/2025,,,1451606,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,34,15,45791
1451608,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,10,9,5/10/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,10,9,45787
1451608,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,11,9,5/11/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,11,9,45788
1451608,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,12,9,5/12/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,12,9,45789
1451608,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,9,5/13/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,9,45790
1451608,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,9,5/14/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,9,45791
1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,9,5,5/10/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,9,5,45787
1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,10,49,5/10/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,10,49,45787
1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,11,49,5/11/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,11,49,45788
1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,49,5/12/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,49,45789
1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,49,5/13/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,49,45790
1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,44,5/14/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,44,45791
1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,82,1,5/10/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,82,1,45787
1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,83,1,5/11/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,83,1,45788
1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,84,1,5/12/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,84,1,45789
1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,85,1,5/13/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,85,1,45790
1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,86,1,5/14/2025,,,1451608,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,86,1,45791
1451608,ID010,310015,ID002,101,3117A-9999A,118,0,5/10/2025,,,1451608,ID010,310015,ID002,101,3117A-9999A,118,0,45787
1451608,ID010,310015,ID002,101,3117A-9999A,119,0,5/11/2025,,,1451608,ID010,310015,ID002,101,3117A-9999A,119,0,45788
1451608,ID010,310015,ID002,101,3117A-9999A,120,0,5/12/2025,,,1451608,ID010,310015,ID002,101,3117A-9999A,120,0,45789
1451608,ID010,310015,ID002,101,3132A,13,1,5/10/2025,,,1451608,ID010,310015,ID002,101,3132A,13,1,45787
1451608,ID010,310015,ID002,101,3132A,14,1,5/11/2025,,,1451608,ID010,310015,ID002,101,3132A,14,1,45788
1451608,ID010,310015,ID002,101,3132A,15,1,5/12/2025,,,1451608,ID010,310015,ID002,101,3132A,15,1,45789
1451608,ID010,310015,ID002,101,3132A,16,1,5/13/2025,,,1451608,ID010,310015,ID002,101,3132A,16,1,45790
1451608,ID010,310015,ID002,101,3132A,17,1,5/14/2025,,,1451608,ID010,310015,ID002,101,3132A,17,1,45791
1451609,ID010,310015,ID002,101,3117A-3123A-9999A,96,1,5/10/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A,96,1,45787
1451609,ID010,310015,ID002,101,3117A-3123A-9999A,97,1,5/11/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A,97,1,45788
1451609,ID010,310015,ID002,101,3117A-3123A-9999A,98,1,5/12/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A,98,1,45789
1451609,ID010,310015,ID002,101,3117A-3123A-9999A,99,1,5/13/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A,99,1,45790
1451609,ID010,310015,ID002,101,3117A-3123A-9999A,100,1,5/14/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A,100,1,45791
1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,9,59,5/10/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,9,59,45787
1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,10,59,5/11/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,10,59,45788
1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,11,59,5/12/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,11,59,45789
1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,59,5/13/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,59,45790
1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,59,5/14/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,59,45791
1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,113,0,5/10/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,113,0,45787
1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,114,0,5/11/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,114,0,45788
1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,115,0,5/12/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,115,0,45789
1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,116,0,5/13/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,116,0,45790
1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,117,0,5/14/2025,,,1451609,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,117,0,45791
1452398,ID010,310015,ID002,101,3132A,11,58,5/7/2025,,,1452398,ID010,310015,ID002,101,3132A,11,58,45784
1452398,ID010,310015,ID002,101,3132A,12,60,5/7/2025,,,1452398,ID010,310015,ID002,101,3132A,12,60,45784
1452398,ID010,310015,ID002,101,3132A,13,60,5/8/2025,,,1452398,ID010,310015,ID002,101,3132A,13,60,45785
1452398,ID010,310015,ID002,101,3132A,14,2,5/9/2025,,,1452398,ID010,310015,ID002,101,3132A,14,2,45786
1452399,ID010,310015,ID002,101,3123A-3132A-9999A-9999E,12,8,5/7/2025,,,1452399,ID010,310015,ID002,101,3123A-3132A-9999A-9999E,12,8,45784
1452399,ID010,310015,ID002,101,3123A-3132A-9999A-9999E,13,8,5/8/2025,,,1452399,ID010,310015,ID002,101,3123A-3132A-9999A-9999E,13,8,45785
1452399,ID010,310015,ID002,101,3132A,12,52,5/7/2025,,,1452399,ID010,310015,ID002,101,3132A,12,52,45784
1452399,ID010,310015,ID002,101,3132A,13,52,5/8/2025,,,1452399,ID010,310015,ID002,101,3132A,13,52,45785
1452455,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,12,20,5/9/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,12,20,45786
1452455,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,20,5/10/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,20,45787
1452455,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,20,5/11/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,20,45788
1452455,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,15,20,5/12/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,15,20,45789
1452455,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,16,20,5/13/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,16,20,45790
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,11,26,5/9/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,11,26,45786
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,40,5/9/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,40,45786
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,40,5/10/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,40,45787
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,40,5/11/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,40,45788
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,15,40,5/12/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,15,40,45789
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,16,14,5/13/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,16,14,45790
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,17,0,5/14/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,17,0,45791
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,18,0,5/15/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,18,0,45792
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,19,0,5/16/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,19,0,45793
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,20,0,5/17/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,20,0,45794
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,21,0,5/18/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,21,0,45795
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,22,0,5/19/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,22,0,45796
1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,23,0,5/20/2025,,,1452455,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,23,0,45797
1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,12,28,5/14/2025,,,1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,12,28,45791
1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,28,5/15/2025,,,1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,28,45792
1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,28,5/16/2025,,,1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,28,45793
1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,15,28,5/17/2025,,,1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,15,28,45794
1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,16,28,5/18/2025,,,1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,16,28,45795
1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,17,28,5/19/2025,,,1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,17,28,45796
1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,18,28,5/20/2025,,,1453454,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,18,28,45797
1453454,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,1,5/14/2025,,,1453454,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,1,45791
1453454,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,23,5/14/2025,,,1453454,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,23,45791
1453454,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,23,5/15/2025,,,1453454,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,23,45792
