W_INSERT_DT,WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,AGE,ALLOCATED_ORDER_NUM,Allocation Date
2025-05-01 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,34,"",
2025-05-01 00:00:00,ID002,310015,ID002,101,3117A-3123A-3123A-3132A-9999A-9999E,8,"",
2025-05-01 00:00:00,ID002,310015,ID002,101,3117A-3123A-3132A-9999A,11,"",
2025-05-01 00:00:00,ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,"",
2025-05-01 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A,11,"",
2025-05-01 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,"",
2025-05-01 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,"",
2025-05-01 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,10,"",
2025-05-01 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,11,"",
2025-05-01 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,25,"",
2025-05-01 00:00:00,ID002,310015,ID002,101,3117A-9999A,31,"",
2025-05-01 00:00:00,ID002,310086,ID002,101,3139A-3140A-9999A,8,"",
2025-05-01 00:00:00,ID002,310086,ID002,101,3139A-3140A-9999A,11,"",
2025-05-01 00:00:00,ID002,310086,ID002,101,3139A-3140A-9999A,12,"",
2025-05-01 00:00:00,ID002,310086,ID002,101,3139A-3140A-9999A,21,"",
2025-05-01 00:00:00,ID002,310086,ID002,101,3139A-3140A-9999A,22,"",
2025-05-01 00:00:00,ID002,310086,ID002,101,3139A-3140A-9999A,27,"",
2025-05-01 00:00:00,ID002,310086,ID002,101,3139A-3140A-9999A,40,"",
2025-05-01 00:00:00,ID002,310086,ID002,101,3139A-3140A-9999A,45,"",
2025-05-01 00:00:00,ID002,310086,ID002,101,3140A-9999A,8,"",
2025-05-01 00:00:00,ID002,310086,ID002,101,3140A-9999A,27,"",
2025-05-01 00:00:00,ID002,310086,ID002,102,9999A,65,"",
2025-05-01 00:00:00,ID002,310768,ID002,102,9999A,21,"",
2025-05-01 00:00:00,ID002,310768,ID002,102,9999A,120,"",
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-3123A-9999A-9999E,15,1447506,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,"",
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,233372-1-1-101,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,233372-1-1-102,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,233372-1-1-103,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,1447552,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A,66,"",
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A,87,"",
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,"",
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,1447552,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,233372-1-1-101,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,233372-1-1-103,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,1447552,
