Order#,Demand Type,Ship Date,Item#,Approved Plant 1,Approved Plant 2,Approved Plant 3,Grade,Spec,Shipping Warehouse Code,Sum of Ordered Pallets,Order Date
10005901,Order,2024-06-29 00:00:00,310086,ID002,"","",102,9999A,ID010,20,2024-06-17 00:00:00
10005902,Order,2024-06-29 00:00:00,310086,ID002,"","",102,9999A,ID010,20,2024-06-17 00:00:00
10005903,Order,2024-06-29 00:00:00,310086,ID002,"","",102,9999A,ID010,20,2024-06-17 00:00:00
10005904,Order,2024-06-29 00:00:00,310086,ID002,"","",102,9999A,ID010,20,2024-06-17 00:00:00
10005905,Order,2024-06-29 00:00:00,310086,ID002,"","",102,9999A,ID010,20,2024-06-17 00:00:00
10005977,Order,2024-06-19 00:00:00,310002,WA001,"","",102,9999A,WA001,0.019958269073754874,2024-06-18 00:00:00
10005988,Order,2024-06-28 00:00:00,310023,WA002,"","",102,9999A,WA017,0.1799872992833167,2024-06-18 00:00:00
10005988,Order,2024-06-29 00:00:00,310023,WA002,"","",102,9999A,WA017,1.819831261906922,2024-06-18 00:00:00
10006086,Order,2024-06-29 00:00:00,310015,"","","",102,9999A,WA001,14.999909280595118,2024-06-21 00:00:00
10006118,Order,2024-07-01 00:00:00,310015,"","","",102,9999A,WA001,14.999909280595118,2024-06-24 00:00:00
10006146,Order,2024-07-03 00:00:00,310015,"","","",102,9999A,WA001,14.999909280595118,2024-06-25 00:00:00
10006147,Order,2024-07-03 00:00:00,310015,"","","",102,9999A,WA001,14.999909280595118,2024-06-25 00:00:00
10006190,Order,2024-06-28 00:00:00,310726,WA003,WA002,"",101,9999A,WA007,13.219994556835706,2024-06-26 00:00:00
10006225,Order,2024-07-05 00:00:00,310015,"","","",102,9999A,WA001,14.999909280595118,2024-06-27 00:00:00
10006307,Order,2024-08-01 00:00:00,310015,"","","",102,9999A,WA001,14.999909280595118,2024-06-28 00:00:00
10006445,Order,2024-07-10 00:00:00,310015,"","","",102,9999A,WA001,14.999909280595118,2024-07-03 00:00:00
10006483,Order,2024-07-11 00:00:00,310018,WA001,"","",102,9999A,WA001,14.999909280595118,2024-07-05 00:00:00
10006578,Order,2024-07-16 00:00:00,310015,"","","",102,9999A,WA001,14.999909280595118,2024-07-09 00:00:00
10006641,Order,2024-07-20 00:00:00,310015,WA001,"","",102,"",WA001,16,2024-07-10 00:00:00
