Order_Num,Demand Type,Ship Date,Item,Approved Plant 1,Approved Plant 2,Approved Plant 3,Grade,Spec,Shipping Warehouse Code,Sum of Ordered Pallets,Order Date
10009951,Order,2024-10-16 00:00:00,310015,"","","",102,9999A,WA001,0.03991653814750975,2024-10-14 00:00:00
10016191,Order,2025-06-13 00:00:00,310724,ID002,"","",102,9999A,TX001,1.0000907194048807,2025-05-26 00:00:00
231741-1-5-109,Order,2025-06-19 00:00:00,310015,WA001,"","",102,9999A,WA001,14.999909280595118,2025-06-10 00:00:00
232128-1-7,Contract,2025-06-01 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,0.7400067132359611,
232128-1-7-129,Order,2025-06-25 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,100,2025-04-29 00:00:00
232128-1-7-130,Order,2025-06-25 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,100,2025-04-29 00:00:00
232128-1-7-131,Order,2025-06-25 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,80,2025-04-30 00:00:00
232128-1-8-132,Order,2025-07-15 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,100,2025-05-29 00:00:00
232128-1-8-133,Order,2025-07-15 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,80,2025-05-29 00:00:00
232128-1-8-134,Order,2025-07-15 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,80,2025-05-29 00:00:00
232128-1-8-135,Order,2025-07-15 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,80,2025-05-29 00:00:00
232128-1-8-136,Order,2025-07-15 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,80,2025-05-29 00:00:00
232128-1-8-137,Order,2025-07-15 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,80,2025-05-29 00:00:00
232128-1-8-138,Order,2025-07-15 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,80,2025-05-30 00:00:00
232130-1-10,Contract,2025-08-01 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,100.00090719404879,
232130-1-11,Contract,2025-09-01 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,60.00054431642927,
232130-1-12,Contract,2025-10-01 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,80.00072575523903,
232130-1-8-121,Order,2025-06-25 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,40,2025-04-29 00:00:00
232130-1-8-122,Order,2025-06-25 00:00:00,310726,WA003,"","",101,3007DRYGUM,WA007,20,2025-04-29 00:00:00
