Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO
8,2755.75,1,310724,1012512401,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997784
8,2755.75,1,310724,1012512401,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997785
8,2755.75,1,310724,1012512401,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997786
8,2755.75,1,310724,1012512401,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997787
8,2755.75,1,310724,1012512401,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997788
8,2755.75,1,310724,1012512401,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997793
8,2755.75,1,310724,1012512401,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997794
8,2755.75,1,310724,1012512401,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997795
8,2755.75,1,310724,1012512402,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997870
8,2755.75,1,310724,1012512402,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997871
8,2755.75,1,310724,1012512402,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997872
8,2755.75,1,310724,1012512402,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997873
8,2755.75,1,310724,1012512402,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997895
8,2755.75,1,310724,1012512402,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997897
8,2755.75,1,310724,1012512402,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997898
8,2755.75,1,310724,1012512402,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997899
8,2755.75,1,310724,1012512403,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997937
8,2755.75,1,310724,1012512403,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997938
8,2755.75,1,310724,1012512403,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997939
8,2755.75,1,310724,1012512403,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300997952
