Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
WA001,,,Order,102,,310015,233288-1-2-106,,14.99990928,2025-05-12 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-108,,14.99990928,2025-05-12 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233329-1-1-103,,20,2025-05-12 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233329-1-1-104,,20,2025-05-12 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233329-1-1-105,,20,2025-05-12 00:00:00,WA001,9999A
ID002,,,Order,101,,310086,233362-1-1-104,,19,2025-05-13 00:00:00,ID010,3139A
ID002,,,Order,101,,310086,233362-1-1-105,,19,2025-05-13 00:00:00,ID010,3139A
ID002,,,Order,101,,310086,233362-1-1-103,,19,2025-05-13 00:00:00,ID010,3139A
WA001,,,Order,102,,310002,232487-1-2-107,,14.99990928,2025-05-13 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-107,,14.99990928,2025-05-13 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-109,,14.99990928,2025-05-13 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-110,,14.99990928,2025-05-13 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233320-1-1-117,,14.99990928,2025-05-13 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233320-1-1-119,,14.99990928,2025-05-13 00:00:00,WA001,9999A
ID002,,,Order,101,,310015,233367-1-1-101,,14.99990928,2025-05-13 00:00:00,ID002,3123A
ID002,,,Order,101,,310015,233367-1-1-102,,14.99990928,2025-05-13 00:00:00,ID002,3123A
ID002,,,Order,102,,310015,233453-1-1-101,,14.99990928,2025-05-14 00:00:00,ID010,9999A
WA002,,,Order,102,,310724,233451-1-1-104,,17.99981856,2025-05-14 00:00:00,WA007,9999A
WA002,,,Order,102,,310724,233451-1-1-103,,18.00018144,2025-05-14 00:00:00,WA007,9999A
