Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
ID002,,,Order,101,,310086,233362-1-1-104,,19,5/13/2025,ID010,3139A
ID002,,,Order,101,,310086,233362-1-1-105,,19,5/13/2025,ID010,3139A
ID002,,,Order,101,,310086,233362-1-1-103,,19,5/13/2025,ID010,3139A
ID002,,,Order,102,,310015,233453-1-1-101,,14.99990928,5/14/2025,ID010,9999A
WA002,,,Order,102,,310724,233451-1-1-104,,17.99981856,5/14/2025,WA007,9999A
WA002,,,Order,102,,310724,233451-1-1-103,,18.00018144,5/14/2025,WA007,9999A
WA002,,,Order,102,,310724,233451-1-1-111,,18.00018144,5/14/2025,WA007,9999A
WA002,,,Order,102,,310724,233451-1-1-108,,18.00018144,5/14/2025,WA007,9999A
WA002,,,Order,102,,310724,233451-1-1-109,,17.99981856,5/14/2025,WA007,9999A
WA002,,,Order,102,,310724,233451-1-1-106,,18.00018144,5/14/2025,WA007,9999A
WA002,,,Order,102,,310724,233451-1-1-107,,18.00018144,5/14/2025,WA007,9999A
WA002,,,Order,102,,310724,233451-1-1-105,,17.99981856,5/14/2025,WA007,9999A
WA002,,,Order,102,,310724,233451-1-1-101,,18.00018144,5/14/2025,WA007,9999A
WA002,,,Order,102,,310724,233451-1-1-110,,17.99981856,5/14/2025,WA007,9999A
WA002,,,Order,102,,310724,233451-1-1-102,,18.00018144,5/14/2025,WA007,9999A
ID002,,,Order,101,,310768,232513-1-4-111,,11,5/16/2025,ID010,3200A
ID002,,,Order,102,,310015,232146-1-5-125,,14.99990928,5/18/2025,ID010,9999A
ID002,,,Order,102,,310015,232146-1-5-124,,14.99990928,5/18/2025,ID010,9999A
ID002,WA001,,Order,102,,310015,233442-1-1-103,,16,5/22/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233442-1-1-104,,16,5/22/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233442-1-1-105,,16,5/22/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233442-1-1-106,,16,5/22/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233442-1-1-101,,16,5/22/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233442-1-1-102,,16,5/22/2025,TX001,9999A
WA003,WA002,,Order,101,,310726,233296-1-1-101,,80,5/23/2025,WA007,9999E
ID002,WA001,,Order,102,,310015,233444-1-1-101,,16,5/23/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233444-1-1-103,,16,5/23/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233444-1-1-102,,16,5/23/2025,TX001,9999A
WA002,,,Order,101,,310726,232663-1-1-103,,20,5/23/2025,WA007,3035A
WA002,,,Order,101,,310726,232663-1-1-104,,20,5/23/2025,WA007,3035A
WA002,,,Order,101,,310726,232663-1-1-105,,20,5/23/2025,WA007,3035A
WA003,,,Order,101,,310726,233215-1-1-101,,20,5/24/2025,WA007,9999E
WA002,,,Order,101,,310726,233183-1-1-103,,20,5/24/2025,WA007,9999E
WA003,WA002,,Order,102,,310726,233259-1-1-101,,20,5/25/2025,WA007,9999A
ID002,,,Order,101,,310015,233465-1-1-107,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-108,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-125,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-115,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-121,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-122,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-123,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-124,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-120,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-113,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-114,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-116,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-117,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-118,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-119,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-109,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-110,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-111,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-112,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-106,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-103,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-104,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-105,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-102,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-101,,16,5/26/2025,TX001,3123A
ID002,,,Order,101,,310086,233449-1-1-103,,19,5/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233449-1-1-104,,19,5/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233449-1-1-105,,19,5/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233449-1-1-101,,19,5/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233449-1-1-102,,19,5/27/2025,ID010,3139A
ID002,WA001,,Order,102,,310015,233487-1-1-101,,16,5/27/2025,TX001,9999A
