Order#,Ship Date,Demand Type,Item#,Approved Plant 1,Approved Plant 2,Approved Plant 3,Grade,Spec,Order Date,Sum of Ordered Pallets,tewst
232146-1-3-111,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,2/25/2025 0:00,14.99990928,#N/A
232146-1-3-112,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,2/25/2025 0:00,14.99990928,#N/A
232146-1-3-113,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,2/25/2025 0:00,14.94003447,#N/A
232146-1-3-114,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,2/25/2025 0:00,14.97995101,#N/A
232146-1-3-115,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,2/25/2025 0:00,14.99990928,#N/A
232163-1-4-1181663,4/1/2025 0:00,Order,310726,WA003,,,101,3025S,11/21/2024 0:00,0.399891137,#N/A
232312-1-3-145,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.58015059,#N/A
232312-1-3-146,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.96008346,#N/A
232312-1-3-147,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.69990021,#N/A
232312-1-3-148,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.85992924,#N/A
232312-1-3-149,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.83997097,#N/A
232312-1-3-150,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.78009616,#N/A
232312-1-3-151,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,20,#N/A
232312-1-3-152,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.96008346,#N/A
232312-1-3-153,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.87988751,#N/A
232312-1-3-154,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.87988751,#N/A
232312-1-3-155,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.98004173,#N/A
232312-1-3-156,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.83997097,#N/A
232312-1-3-157,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.85992924,#N/A
232312-1-3-158,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.80005443,#N/A
232312-1-3-159,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.96008346,#N/A
232312-1-3-160,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.89984578,#N/A
232312-1-3-161,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.96008346,#N/A
232312-1-3-162,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.94012519,#N/A
232312-1-3-163,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,20,#N/A
232312-1-3-164,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,1/20/2025 0:00,19.87988751,#N/A
232414-1-2-102,4/1/2025 0:00,Order,310726,WA003,,,102,9999A,2/18/2025 0:00,20,#N/A
232414-1-2-103,4/1/2025 0:00,Order,310726,WA003,,,102,9999A,3/7/2025 0:00,0.640116121,#N/A
232483-1-1-103,4/1/2025 0:00,Order,310774,WA001,,,102,9999A,2/4/2025 0:00,19,#N/A
232501-1-4-113,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999E,3/20/2025 0:00,0.019958269,#N/A
232566-1-1-106,4/1/2025 0:00,Order,310002,WA001,,,102,9999A,3/5/2025 0:00,14.99990928,#N/A
232579-1-3-115,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,2/18/2025 0:00,20.87997823,#N/A
232579-1-3-116,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,2/18/2025 0:00,20.82010342,#N/A
232579-1-3-117,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,2/18/2025 0:00,20.87997823,#N/A
232579-1-3-118,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,2/18/2025 0:00,21.00009072,#N/A
232579-1-3-119,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,2/18/2025 0:00,20.98013245,#N/A
232579-1-3-120,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,2/18/2025 0:00,21.00009072,#N/A
232580-1-3-106,4/1/2025 0:00,Order,310086,ID002,,,102,9999A,2/5/2025 0:00,24,#N/A
232580-1-3-107,4/1/2025 0:00,Order,310086,ID002,,,102,9999A,2/18/2025 0:00,24,#N/A
232580-1-3-108,4/1/2025 0:00,Order,310086,ID002,,,102,9999A,2/18/2025 0:00,24,#N/A
232629-1-1-101,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/19/2025 0:00,20.96017418,#N/A
232629-1-1-102,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/19/2025 0:00,20.93985303,#N/A
232629-1-1-103,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/19/2025 0:00,20.93985303,#N/A
232629-1-1-104,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/19/2025 0:00,21.00009072,#N/A
232629-1-1-105,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/19/2025 0:00,21.00009072,#N/A
232700-1-1-108,4/1/2025 0:00,Order,310724,WA002,,,102,9999A,3/18/2025 0:00,2.999909281,#N/A
232700-1-1-109,4/1/2025 0:00,Order,310724,WA002,,,102,9999A,3/18/2025 0:00,2.999909281,#N/A
232700-1-1-110,4/1/2025 0:00,Order,310724,WA002,,,102,9999A,3/18/2025 0:00,2.999909281,#N/A
232700-1-1-111,4/1/2025 0:00,Order,310724,WA002,,,102,9999A,3/18/2025 0:00,2.999909281,#N/A
232758-1-1-101,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/18/2025 0:00,21.00009072,#N/A
232758-1-1-102,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/18/2025 0:00,21.00009072,#N/A
232800-1-2-104,4/1/2025 0:00,Order,310726,WA002,,,102,9999E,2/19/2025 0:00,60,#N/A
232876-1-1-101,4/1/2025 0:00,Order,310724,WA002,,,102,9999E,2/27/2025 0:00,0.019958269,#N/A
232876-1-1-102,4/1/2025 0:00,Order,310724,WA002,,,102,9999E,2/27/2025 0:00,0.019958269,#N/A
232911-1-1-101,4/1/2025 0:00,Order,310002,WA001,,,102,9999A,2/12/2025 0:00,0.019958269,#N/A
232917-1-1-101,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/19/2025 0:00,21.00009072,#N/A
232917-1-1-102,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/19/2025 0:00,21.00009072,#N/A
232917-1-1-103,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/19/2025 0:00,21.00009072,#N/A
232917-1-1-104,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/19/2025 0:00,21.00009072,#N/A
232917-1-1-105,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/19/2025 0:00,21.00009072,#N/A
232917-1-1-106,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,2/19/2025 0:00,21.00009072,#N/A
232952-1-1-102,4/1/2025 0:00,Order,310724,WA002,,,102,9999E,3/5/2025 0:00,0.019958269,#N/A
232961-1-1-101,4/1/2025 0:00,Order,310726,WA002,,,102,9999E,3/5/2025 0:00,0.50004536,#N/A
232970-1-1-101,4/1/2025 0:00,Order,310726,WA002,WA003,,102,9999A,3/20/2025 0:00,0.019958269,#N/A
232985-1-1-120,4/1/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,0.199945568,#N/A
232996-1-1-108,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/3/2025 0:00,14.97995101,#N/A
232996-1-1-109,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232996-1-1-110,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232996-1-1-111,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232999-1-1-101,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/3/2025 0:00,20.41984941,#N/A
232999-1-1-102,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/3/2025 0:00,20.55992017,#N/A
232999-1-1-103,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/3/2025 0:00,20.68003266,#N/A
232999-1-1-104,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/3/2025 0:00,20.8999365,#N/A
233014-1-1-101,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/4/2025 0:00,21.00009072,#N/A
233014-1-1-102,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/4/2025 0:00,21.00009072,#N/A
233014-1-1-103,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/4/2025 0:00,21.00009072,#N/A
233014-1-1-104,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/4/2025 0:00,21.00009072,#N/A
233014-1-1-105,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/4/2025 0:00,21.00009072,#N/A
233014-1-1-106,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/4/2025 0:00,21.00009072,#N/A
233024-1-1-101,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/5/2025 0:00,20.68003266,#N/A
233024-1-1-102,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/5/2025 0:00,20.91989477,#N/A
233024-1-1-103,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/5/2025 0:00,20.93985303,#N/A
233024-1-1-104,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/5/2025 0:00,20.8999365,#N/A
233035-1-1-101,4/1/2025 0:00,Order,310086,ID002,,,102,3139A,3/10/2025 0:00,19,#N/A
233035-1-1-102,4/1/2025 0:00,Order,310086,ID002,,,102,3139A,3/10/2025 0:00,19,#N/A
233035-1-1-103,4/1/2025 0:00,Order,310086,ID002,,,102,3139A,3/10/2025 0:00,19,#N/A
233035-1-1-104,4/1/2025 0:00,Order,310086,ID002,,,102,3139A,3/10/2025 0:00,19,#N/A
233035-1-1-105,4/1/2025 0:00,Order,310086,ID002,,,102,3139A,3/10/2025 0:00,19,#N/A
233055-1-1-102,4/1/2025 0:00,Order,310002,WA001,,,102,9999A,3/31/2025 0:00,0.019958269,#N/A
233063-1-1-101,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/10/2025 0:00,20.52000363,#N/A
233063-1-1-102,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/10/2025 0:00,20.64011612,#N/A
233063-1-1-103,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/10/2025 0:00,20.8999365,#N/A
233063-1-1-104,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/10/2025 0:00,20.98013245,#N/A
233063-1-1-105,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/10/2025 0:00,20.96017418,#N/A
233063-1-1-106,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/10/2025 0:00,20.93985303,#N/A
