ORDER_NUMBER,Inventory History for Allocation.WHSE_CODE,ITEM,Inventory History for Allocation.PRODUCTION_PLANT,Inventory History for Allocation.QC_GRADE,Inventory History for Allocation.SPEC,Average of Inventory History for Allocation.AGE,SHIPPED_DATE
232128-1-8-132,WA007,310726,WA003,101,3002A-3005WGUM-3007DRYGUM-3007FO-3007S-3015A-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,25.00,2025-06-25 00:00:00
232128-1-8-132,WA003,310726,WA003,101,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,6.00,2025-06-25 00:00:00
232128-1-8-132,WA007,310726,WA003,101,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,25.40,2025-06-25 00:00:00
232128-1-8-134,WA003,310726,WA003,101,"",8.00,2025-06-25 00:00:00
232128-1-8-134,WA007,310726,WA003,101,3002A-3005WGUM-3007DRYGUM-3007FO-3007S-3015A-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,28.00,2025-06-25 00:00:00
232128-1-8-134,WA003,310726,WA003,101,3002A-3005WGUM-3007DRYGUM-3007FO-3007S-3015A-3025S-3035A-9999A-9999C-9999CS-9999E,8.00,2025-06-25 00:00:00
232128-1-8-134,WA007,310726,WA003,101,3002A-3005WGUM-3007DRYGUM-3007FO-3007S-3015A-3025S-3035A-9999A-9999C-9999CS-9999E,29.00,2025-06-25 00:00:00
232128-1-8-134,WA007,310726,WA003,101,3002A-3005WGUM-3007DRYGUM-3007S-3015A-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,28.00,2025-06-25 00:00:00
232128-1-8-134,WA003,310726,WA003,101,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,6.00,2025-06-25 00:00:00
232128-1-8-134,WA007,310726,WA003,101,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,27.00,2025-06-25 00:00:00
232128-1-8-134,WA003,310726,WA003,102,9999A,8.00,2025-06-25 00:00:00
232130-1-9-124,WA003,310726,WA003,101,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,6.17,2025-06-25 00:00:00
232130-1-9-124,WA007,310726,WA003,101,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,26.55,2025-06-25 00:00:00
232483-1-4-117,WA001,310774,WA001,102,9999A,28.28,2025-06-25 00:00:00
232665-1-1-102,WA002,310726,WA002,101,3035A-9999A-9999C-9999E,8.00,2025-06-25 00:00:00
232665-1-1-102,WA007,310726,WA002,101,3035A-9999A-9999C-9999E,11.00,2025-06-25 00:00:00
232665-1-1-102,WA007,310726,WA002,101,3035A-9999A-9999E,17.55,2025-06-25 00:00:00
233119-1-2-102,WA001,310002,WA001,102,9999A,28.50,2025-06-25 00:00:00
233235-1-1-104,WA007,310726,WA003,101,3002A-3007S-3015A-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,9.00,2025-06-25 00:00:00
233235-1-1-104,WA007,310726,WA003,101,3002A-3007S-3015A-3025S-3033A-3035A-9999A-9999E,9.00,2025-06-25 00:00:00
