W_INSERT_DT,WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,AGE,Sum of Inventory Pallets,ALLOCATED_ORDER_NUM,Allocation Date
2025-05-29 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,9,14,"",
2025-05-30 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,9,4,"",
2025-05-30 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,10,14,"",
2025-05-28 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,16,2,"",
2025-05-29 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,17,2,"",
2025-05-30 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,18,2,"",
2025-06-06 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,8,7,"",
2025-06-07 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,8,4,"",
2025-06-07 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,9,7,"",
2025-06-08 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,9,4,"",
2025-07-01 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,9,16,"",
2025-05-31 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,10,4,"",
2025-06-08 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,10,7,"",
2025-06-09 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,10,4,"",
2025-07-02 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,10,16,"",
2025-05-31 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,11,14,"",
2025-06-01 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,11,4,"",
2025-06-09 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,11,7,"",
2025-06-10 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,11,4,"",
2025-06-01 00:00:00,ID002,310015,ID002,101,3117A-3117A-3123A-3123A-9999A-9999E-9999A-9999E,12,14,"",
2025-06-24 00:00:00,ID002,310015,ID002,101,3117A-3117S-3123A-9999A-9999E,9,8,"",
2025-06-25 00:00:00,ID002,310015,ID002,101,3117A-3117S-3123A-9999A-9999E,10,8,"",
2025-05-29 00:00:00,ID002,310015,ID002,101,3117A-3123A-3123A-9999A-9999E-9999A-9999E,9,7,"",
2025-05-30 00:00:00,ID002,310015,ID002,101,3117A-3123A-3123A-9999A-9999E-9999A-9999E,10,7,"",
2025-05-28 00:00:00,ID002,310015,ID002,101,3117A-3123A-3123A-9999A-9999E-9999A-9999E,16,6,"",
2025-05-29 00:00:00,ID002,310015,ID002,101,3117A-3123A-3123A-9999A-9999E-9999A-9999E,17,6,"",
2025-05-28 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A,11,24,"",
2025-05-29 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A,12,24,"",
2025-05-30 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A,13,3,"",
2025-05-30 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,7,120,"",
2025-05-31 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,7,83,"",
2025-06-02 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,7,120,"",
2025-06-04 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,7,48,"",
2025-06-12 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,7,56,"",
2025-06-14 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,7,139,"",
2025-07-03 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,7,504,"",
2025-05-30 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,128,"",
2025-05-31 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,120,"",
2025-06-01 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,83,"",
2025-06-02 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,149,"",
2025-06-03 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,120,"",
2025-06-05 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,48,"",
2025-06-06 00:00:00,ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,14,"",
