Order#,Request Date,Ship Date,Actual Ship Date,Order Date,Demand Type,Item#,Approved Plant 1,Approved Plant 2,Approved Plant 3,Grade,Spec,Shipping Warehouse Code,Ordered Pallets
10006578,2024-07-16 00:00:00,2024-07-16 00:00:00,,2024-07-09 00:00:00,Order,310015,"","","",102,9999A,WA001,14.999909280595118
10006641,2024-07-19 00:00:00,2024-07-20 00:00:00,2024-07-15 00:00:00,2024-07-10 00:00:00,Order,310015,WA001,"","",102,"",WA001,16
10006644,2024-08-07 00:00:00,2024-08-08 00:00:00,2024-08-09 00:00:00,2024-07-10 00:00:00,Order,310015,WA001,"","",102,9999A,WA001,5.000090719404881
10006652,2024-07-24 00:00:00,2024-07-25 00:00:00,2024-07-29 00:00:00,2024-07-10 00:00:00,Order,310015,WA001,"","",102,9999A,WA001,14.999909280595118
10006806,2024-07-12 00:00:00,2024-07-12 00:00:00,,2024-07-12 00:00:00,Order,310015,"","","",102,9999A,ID010,0.019958269073754874
10006806,2024-07-12 00:00:00,2024-07-16 00:00:00,2024-07-23 00:00:00,2024-07-12 00:00:00,Order,310015,"","","",102,9999A,ID010,14.979951011521363
10006911,2024-07-16 00:00:00,2024-07-17 00:00:00,2024-07-18 00:00:00,2024-07-16 00:00:00,Order,310724,WA002,"","",101,9999A,WA007,0.12011249206205207
10007107,2024-07-30 00:00:00,2024-07-31 00:00:00,2024-08-05 00:00:00,2024-07-23 00:00:00,Order,310015,"","","",102,9999A,WA001,14.999909280595118
10007108,2024-07-30 00:00:00,2024-07-31 00:00:00,2024-08-01 00:00:00,2024-07-23 00:00:00,Order,310015,"","","",102,9999A,WA001,14.999909280595118
10007109,2024-07-30 00:00:00,2024-07-31 00:00:00,2024-08-01 00:00:00,2024-07-23 00:00:00,Order,310015,"","","",102,9999A,WA001,14.999909280595118
10007130,2024-07-30 00:00:00,2024-07-31 00:00:00,2024-08-02 00:00:00,2024-07-24 00:00:00,Order,310015,"","","",102,9999A,WA001,14.999909280595118
10007138,2024-07-30 00:00:00,2024-07-31 00:00:00,2024-07-31 00:00:00,2024-07-24 00:00:00,Order,310015,"","","",102,9999A,WA001,14.999909280595118
10007233,2024-07-16 00:00:00,2024-07-26 00:00:00,2024-07-29 00:00:00,2024-07-09 00:00:00,Order,310015,"","","",102,9999A,WA001,14.999909280595118
10007246,2024-08-01 00:00:00,2024-08-02 00:00:00,2024-08-08 00:00:00,2024-07-26 00:00:00,Order,310015,"","","",102,9999A,WA001,14.999909280595118
10007291,2024-08-05 00:00:00,2024-08-06 00:00:00,2024-08-07 00:00:00,2024-07-29 00:00:00,Order,310015,"","","",102,9999A,WA001,14.999909280595118
10007292,2024-08-05 00:00:00,2024-08-06 00:00:00,2024-08-07 00:00:00,2024-07-29 00:00:00,Order,310015,"","","",102,9999A,WA001,14.999909280595118
