Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM,JOINER
2,2755.75,1,310726,1012434611,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797736,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999C-9999E1012434611300797736
2,2755.75,1,310726,1012434611,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797737,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999C-9999E1012434611300797737
2,551.15,0,310726,1012434611,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797738,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999C-9999E1012434611300797738
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797808,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999C-9999E1012434612300797808
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797809,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999C-9999E1012434612300797809
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797810,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999C-9999E1012434612300797810
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797811,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999C-9999E1012434612300797811
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797848,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999C-9999E1012434612300797848
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797849,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999C-9999E1012434612300797849
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797850,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999C-9999E1012434612300797850
