,Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM,JOINER
2,2,551.15,0,310726,1012434611,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797738,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999C-9999E1012434611300797738
11,2,2755.75,1,310726,1012434613,101,WA002,3015A-3035A-9999A-9999E,WA011,300797915,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999E1012434613300797915
12,2,2755.75,1,310726,1012434613,101,WA002,3015A-3035A-9999A-9999E,WA011,300797916,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999E1012434613300797916
13,2,2755.75,1,310726,1012434613,101,WA002,3015A-3035A-9999A-9999E,WA011,300797917,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999E1012434613300797917
14,2,2755.75,1,310726,1012434613,101,WA002,3015A-3035A-9999A-9999E,WA011,300797918,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999E1012434613300797918
15,2,2755.75,1,310726,1012434614,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797938,233506-1-2-101,WA011310726WA0021013015A-3035A-9999A-9999C-9999E1012434614300797938
16,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028307,,WA003310726WA0031013007S-3025S-3033A-3035A-9999A-9999E1022514651301028307
17,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028308,,WA003310726WA0031013007S-3025S-3033A-3035A-9999A-9999E1022514651301028308
18,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028328,,WA003310726WA0031013007S-3025S-3033A-3035A-9999A-9999E1022514651301028328
19,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028329,,WA003310726WA0031013007S-3025S-3033A-3035A-9999A-9999E1022514651301028329
20,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028330,,WA003310726WA0031013007S-3025S-3033A-3035A-9999A-9999E1022514651301028330
21,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028331,,WA003310726WA0031013007S-3025S-3033A-3035A-9999A-9999E1022514651301028331
22,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028332,,WA003310726WA0031013007S-3025S-3033A-3035A-9999A-9999E1022514651301028332
23,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028333,,WA003310726WA0031013007S-3025S-3033A-3035A-9999A-9999E1022514651301028333
24,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028399,,WA003310726WA0031013005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E1022514652301028399
25,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028400,,WA003310726WA0031013005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E1022514652301028400
26,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028401,,WA003310726WA0031013005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E1022514652301028401
27,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028402,,WA003310726WA0031013005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E1022514652301028402
28,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028403,,WA003310726WA0031013005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E1022514652301028403
29,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028404,,WA003310726WA0031013005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E1022514652301028404
30,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028405,,WA003310726WA0031013005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E1022514652301028405
31,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028406,,WA003310726WA0031013005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E1022514652301028406
32,6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028485,,WA003310726WA0031013005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E1022514653301028485
