Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029533,
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029536,
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029538,
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029539,
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029540,
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029541,
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029542,
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029543,
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029789,
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029791,
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029792,
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029793,
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029794,
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029795,
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029796,
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029797,
6,2755.75,1,310726,1022514753,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029830,
6,2755.75,1,310726,1022514753,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029831,
6,2755.75,1,310726,1022514753,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029832,
6,2755.75,1,310726,1022514753,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029833,
6,2755.75,1,310726,1022514753,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029880,
6,2755.75,1,310726,1022514753,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029882,
6,2755.75,1,310726,1022514753,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029883,
6,2755.75,1,310726,1022514753,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029884,
6,2755.75,1,310726,1022514754,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029902,
6,2755.75,1,310726,1022514754,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029903,
6,2755.75,1,310726,1022514754,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029955,
6,2755.75,1,310726,1022514754,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029956,
