Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec,Request Date,Order Date
"","","",Order,101,120,310726,10016042,7055,3,2025-06-10 00:00:00,WA007,3005WGUM,2025-06-12 00:00:00,2025-05-19 00:00:00
"","","",Order,101,120,310726,10016042,8267,3,2025-06-10 00:00:00,WA007,9999A,2025-06-12 00:00:00,2025-05-19 00:00:00
"","","",Order,101,240,310726,10016075,15322,6,2025-06-11 00:00:00,WA007,"",2025-06-13 00:00:00,2025-05-20 00:00:00
ID002,"","",Order,102,120,310724,10016191,2756,1,2025-06-13 00:00:00,TX001,9999A,2025-06-15 00:00:00,2025-05-26 00:00:00
ID002,"","",Order,102,120,310015,10016904,55,0,2025-06-18 00:00:00,WA007,9999A,2025-06-18 00:00:00,2025-06-18 00:00:00
WA002,"","",Order,102,120,310724,10016904,55,0,2025-06-18 00:00:00,WA007,9999A,2025-06-18 00:00:00,2025-06-18 00:00:00
WA001,"","",Order,102,120,310002,10016907,55,0,2025-06-18 00:00:00,WA001,9999A,2025-06-18 00:00:00,2025-06-18 00:00:00
ID002,"","",Order,102,120,310015,10017000,41336,15,2025-07-01 00:00:00,ID002,9999A,2025-06-27 00:00:00,2025-06-23 00:00:00
"","","",Order,101,120,310015,10017003,6669,2,2025-07-07 00:00:00,WA010,"",2025-07-11 00:00:00,2025-06-23 00:00:00
"","","",Order,102,120,310768,10017007,41800,19,2025-07-17 00:00:00,ID010,"",2025-07-18 00:00:00,2025-06-23 00:00:00
"","","",Order,102,120,310768,10017008,41800,19,2025-07-17 00:00:00,ID010,"",2025-07-18 00:00:00,2025-06-23 00:00:00
"","","",Order,102,120,310768,10017009,41800,19,2025-07-17 00:00:00,ID010,"",2025-07-18 00:00:00,2025-06-23 00:00:00
"","","",Order,102,120,310768,10017010,41800,19,2025-07-17 00:00:00,ID010,"",2025-07-18 00:00:00,2025-06-23 00:00:00
"","","",Order,102,120,310768,10017011,33000,15,2025-07-17 00:00:00,ID010,"",2025-07-18 00:00:00,2025-06-23 00:00:00
ID002,"","",Order,101,120,310015,10017079,5456,2,2025-07-07 00:00:00,ID010,9999A,2025-07-10 00:00:00,2025-06-26 00:00:00
WA001,"","",Order,102,120,310018,10017239,55,0,2025-07-02 00:00:00,WA001,9999A,2025-07-02 00:00:00,2025-07-02 00:00:00
WA001,"","",Order,102,120,310015,231741-1-5-109,41336,15,2025-06-19 00:00:00,WA001,9999A,2025-06-18 00:00:00,2025-06-10 00:00:00
WA003,"","",Order,101,480,310726,232128-1-7-126,275575,100,2025-06-12 00:00:00,WA007,3007DRYGUM,2025-06-01 00:00:00,2025-04-29 00:00:00
WA003,"","",Order,101,240,310726,232128-1-7-127,275575,100,2025-06-12 00:00:00,WA007,3007DRYGUM,2025-06-01 00:00:00,2025-04-29 00:00:00
WA003,"","",Order,101,360,310726,232128-1-7-128,275575,100,2025-06-12 00:00:00,WA007,3007DRYGUM,2025-06-01 00:00:00,2025-04-29 00:00:00
WA003,"","",Order,101,360,310726,232128-1-7-129,275575,100,2025-06-25 00:00:00,WA007,3007DRYGUM,2025-06-01 00:00:00,2025-04-29 00:00:00
WA003,"","",Order,101,480,310726,232128-1-7-130,275575,100,2025-06-25 00:00:00,WA007,3007DRYGUM,2025-06-01 00:00:00,2025-04-29 00:00:00
WA003,"","",Order,101,240,310726,232128-1-7-131,220460,80,2025-06-25 00:00:00,WA007,3007DRYGUM,2025-06-01 00:00:00,2025-04-30 00:00:00
