,Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
0,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028307,
1,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028308,
2,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028328,
3,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028329,
4,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028330,
5,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028331,
6,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028332,
7,6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028333,
8,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028399,
9,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028400,
10,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028401,
11,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028402,
12,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028403,
13,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028404,
14,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028405,
15,6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028406,
16,6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028485,
17,6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028486,
18,6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028487,
19,6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028488,
20,6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028489,
21,6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028490,
22,6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028491,
23,6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028492,
24,6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028545,
25,6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028546,
26,6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028547,
27,6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028548,
28,6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028559,
29,6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028560,
30,6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028561,
31,6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028587,
32,6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028623,
33,6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028785,
34,6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028791,
35,6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028792,
36,6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028796,
37,6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028797,
38,6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028798,
39,6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028799,
40,6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028819,
41,6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028820,
