,Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
0,,,,Order,101,120,310726,10016042,7055,2.5601016057334665,2025-06-10 00:00:00,WA007,3005WGUM
1,,,,Order,101,120,310726,10016042,8267,2.9999092805951197,2025-06-10 00:00:00,WA007,9999A
2,,,,Order,101,120,310726,10016075,55,0.0199582690737548,2025-06-11 00:00:00,WA007,
3,,,,Order,101,120,310726,10016075,15267,5.540052617254831,2025-06-11 00:00:00,WA007,
4,ID002,,,Order,102,120,310724,10016191,2756,1.0000907194048807,2025-06-13 00:00:00,TX001,9999A
5,ID002,,,Order,102,120,310015,10016904,55,0.0199582690737548,2025-06-18 00:00:00,WA007,9999A
6,WA002,,,Order,102,120,310724,10016904,55,0.0199582690737548,2025-06-18 00:00:00,WA007,9999A
7,WA001,,,Order,102,120,310002,10016907,55,0.0199582690737548,2025-06-18 00:00:00,WA001,9999A
8,ID002,,,Order,102,120,310015,10017000,41336,14.999909280595118,2025-07-01 00:00:00,ID002,9999A
9,,,,Order,101,120,310015,10017003,6669,2.4200308445976595,2025-07-07 00:00:00,WA010,
10,,,,Order,102,120,310768,10017007,41800,19.0,2025-07-17 00:00:00,ID010,
11,,,,Order,102,120,310768,10017008,41800,19.0,2025-07-17 00:00:00,ID010,
12,,,,Order,102,120,310768,10017009,41800,19.0,2025-07-17 00:00:00,ID010,
13,,,,Order,102,120,310768,10017010,41800,19.0,2025-07-17 00:00:00,ID010,
14,,,,Order,102,120,310768,10017011,33000,15.0,2025-07-17 00:00:00,ID010,
15,ID002,,,Order,101,120,310015,10017079,5456,1.979860292116484,2025-07-07 00:00:00,ID010,9999A
16,WA001,,,Order,102,120,310018,10017239,55,0.0199582690737548,2025-07-02 00:00:00,WA001,9999A
17,WA001,,,Order,102,120,310015,231741-1-5-109,41336,14.999909280595118,2025-06-19 00:00:00,WA001,9999A
18,WA003,,,Order,101,120,310726,232128-1-13-139,220460,80.0,2025-07-28 00:00:00,WA007,3007DRYGUM
19,WA003,,,Order,101,120,310726,232128-1-13-140,220460,80.0,2025-07-28 00:00:00,WA007,3007DRYGUM
20,WA003,,,Order,101,120,310726,232128-1-13-141,220460,80.0,2025-07-28 00:00:00,WA007,3007DRYGUM
21,WA003,,,Order,101,120,310726,232128-1-13-142,220460,80.0,2025-07-28 00:00:00,WA007,3007DRYGUM
22,WA003,,,Order,101,120,310726,232128-1-13-143,220460,80.0,2025-07-28 00:00:00,WA007,3007DRYGUM
23,WA003,,,Order,101,120,310726,232128-1-13-144,220460,80.0,2025-07-28 00:00:00,WA007,3007DRYGUM
24,WA003,,,Order,101,120,310726,232128-1-13-145,220460,80.0,2025-07-28 00:00:00,WA007,3007DRYGUM
25,WA003,,,Order,101,120,310726,232128-1-13-146,220460,80.0,2025-07-28 00:00:00,WA007,3007DRYGUM
