Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec,Request Date,Actual Ship Date,Order Date
"","","",Order,101,120,310726,10016042,7055,2.5601016057334665,2025-06-10 00:00:00,WA007,3005WGUM,2025-06-12 00:00:00,,2025-05-19 00:00:00
"","","",Order,101,120,310726,10016042,8267,2.9999092805951193,2025-06-10 00:00:00,WA007,9999A,2025-06-12 00:00:00,,2025-05-19 00:00:00
"","","",Order,101,120,310726,10016075,55,0.019958269073754874,2025-06-11 00:00:00,WA007,"",2025-06-13 00:00:00,,2025-05-20 00:00:00
"","","",Order,101,120,310726,10016075,15267,5.540052617254831,2025-06-11 00:00:00,WA007,"",2025-06-13 00:00:00,2025-06-02 00:00:00,2025-05-20 00:00:00
ID002,"","",Order,102,120,310724,10016191,2756,1.0000907194048807,2025-06-13 00:00:00,TX001,9999A,2025-06-15 00:00:00,2025-07-01 00:00:00,2025-05-26 00:00:00
ID002,"","",Order,102,120,310015,10016904,55,0.019958269073754874,2025-06-18 00:00:00,WA007,9999A,2025-06-18 00:00:00,2025-07-01 00:00:00,2025-06-18 00:00:00
WA002,"","",Order,102,120,310724,10016904,55,0.019958269073754874,2025-06-18 00:00:00,WA007,9999A,2025-06-18 00:00:00,2025-07-01 00:00:00,2025-06-18 00:00:00
WA001,"","",Order,102,120,310002,10016907,55,0.019958269073754874,2025-06-18 00:00:00,WA001,9999A,2025-06-18 00:00:00,2025-06-24 00:00:00,2025-06-18 00:00:00
ID002,"","",Order,102,120,310015,10017000,41336,14.999909280595118,2025-07-01 00:00:00,ID002,9999A,2025-06-27 00:00:00,2025-07-01 00:00:00,2025-06-23 00:00:00
"","","",Order,101,120,310015,10017003,6669,2.4200308445976595,2025-07-07 00:00:00,WA010,"",2025-07-11 00:00:00,,2025-06-23 00:00:00
"","","",Order,102,120,310768,10017007,41800,19,2025-07-17 00:00:00,ID010,"",2025-07-18 00:00:00,2025-07-02 00:00:00,2025-06-23 00:00:00
