AGE,TOTAL_WEIGHTS,TOTAL_PALLETS,ITEM_NUMBER,LOT_NO,GRADE,PRODUCTION_PLANT,SPEC,WHS_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM,JOINER,CLEANED_SPEC,SPEC_VALUE
2,2755.75,1,310726,1012434611,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797736,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434611,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797737,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797808,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797809,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797810,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797811,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797848,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797849,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797850,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797914,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434613,101,WA002,3015A-3035A-9999A-9999E,WA011,300797915,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434613,101,WA002,3015A-3035A-9999A-9999E,WA011,300797916,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434613,101,WA002,3015A-3035A-9999A-9999E,WA011,300797917,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434613,101,WA002,3015A-3035A-9999A-9999E,WA011,300797918,233506-1-2-101,1,3035A-9999A-9999E,3
2,2755.75,1,310726,1012434614,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797938,233506-1-2-101,1,3035A-9999A-9999E,3
6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028307,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028308,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028328,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028329,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028330,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028331,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028332,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514651,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301028333,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514652,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028399,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
