Period,Site,Product,BOM,"Assignment Policy","Policy Parameter","Unit BOM Cost",Status,Notes
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_100D,BOM_310726_WA002_101_9999A-9999E_100D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_101D,BOM_310726_WA002_101_9999A-9999E_101D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_102D,BOM_310726_WA002_101_9999A-9999E_102D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_103D,BOM_310726_WA002_101_9999A-9999E_103D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_104D,BOM_310726_WA002_101_9999A-9999E_104D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_105D,BOM_310726_WA002_101_9999A-9999E_105D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_106D,BOM_310726_WA002_101_9999A-9999E_106D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_107D,BOM_310726_WA002_101_9999A-9999E_107D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_108D,BOM_310726_WA002_101_9999A-9999E_108D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_109D,BOM_310726_WA002_101_9999A-9999E_109D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_110D,BOM_310726_WA002_101_9999A-9999E_110D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_111D,BOM_310726_WA002_101_9999A-9999E_111D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_112D,BOM_310726_WA002_101_9999A-9999E_112D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_113D,BOM_310726_WA002_101_9999A-9999E_113D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_114D,BOM_310726_WA002_101_9999A-9999E_114D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_115D,BOM_310726_WA002_101_9999A-9999E_115D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_116D,BOM_310726_WA002_101_9999A-9999E_116D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_117D,BOM_310726_WA002_101_9999A-9999E_117D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_118D,BOM_310726_WA002_101_9999A-9999E_118D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_119D,BOM_310726_WA002_101_9999A-9999E_119D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_120D,BOM_310726_WA002_101_9999A-9999E_120D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_88D,BOM_310726_WA002_101_9999A-9999E_88D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_89D,BOM_310726_WA002_101_9999A-9999E_89D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_90D,BOM_310726_WA002_101_9999A-9999E_90D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_91D,BOM_310726_WA002_101_9999A-9999E_91D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_92D,BOM_310726_WA002_101_9999A-9999E_92D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_93D,BOM_310726_WA002_101_9999A-9999E_93D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_94D,BOM_310726_WA002_101_9999A-9999E_94D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_95D,BOM_310726_WA002_101_9999A-9999E_95D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_96D,BOM_310726_WA002_101_9999A-9999E_96D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_97D,BOM_310726_WA002_101_9999A-9999E_97D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_98D,BOM_310726_WA002_101_9999A-9999E_98D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_99D,BOM_310726_WA002_101_9999A-9999E_99D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_107D,BOM_310726_WA002_101_3035A-9999A-9999E_107D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_108D,BOM_310726_WA002_101_3035A-9999A-9999E_108D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_109D,BOM_310726_WA002_101_3035A-9999A-9999E_109D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_110D,BOM_310726_WA002_101_3035A-9999A-9999E_110D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_111D,BOM_310726_WA002_101_3035A-9999A-9999E_111D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_112D,BOM_310726_WA002_101_3035A-9999A-9999E_112D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_113D,BOM_310726_WA002_101_3035A-9999A-9999E_113D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_114D,BOM_310726_WA002_101_3035A-9999A-9999E_114D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_115D,BOM_310726_WA002_101_3035A-9999A-9999E_115D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_116D,BOM_310726_WA002_101_3035A-9999A-9999E_116D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_117D,BOM_310726_WA002_101_3035A-9999A-9999E_117D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_118D,BOM_310726_WA002_101_3035A-9999A-9999E_118D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_119D,BOM_310726_WA002_101_3035A-9999A-9999E_119D,"","","",include,""
