Site,Product,"Initial Inventory","Inventory Policy","Reorder Point","Reorder/Order Up To Qty","Review Period","Forecast Name","Forecast Aggregation Period","Forecast Disaggregation Pattern","DOS Window","DOS Planning Lead Time","Unit Inbound Cost","Fixed Inbound Shipment Cost","Unit Outbound Cost","Fixed Outbound Shipment Cost","Unit Storage Cost","Unit Disposal Cost","Unit Consignment Cost","Fixed Consignment Cost","Inv Carrying Cost%","Stocking Site","Product Inventory Value","Product Taxable Value","Inventory Turns","Unhealthy Turn Percent","Fixed Excess Stock","Excess Move Percent","Inbound Capacity","Outbound Capacity","Constraint Period","Maximum Inventory","Minimum Inventory","Safety Stock","Minimum Safety Stock","Maximum Safety Stock","Allow Partial Fill","Service Requirement","Minimum Service Time","Maximum Service Time","Minimum Dwell Time","Maximum Dwell Time","Unit Delay Factor","Fixed Order Delay Factor","Service Type",Status,Notes
WA003,310726_WA002_101_3035A-9999A-9999E_120D,,"","","","","","","","","","","","","","",50,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_119D,,"","","","","","","","","","","","","","",100,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_118D,,"","","","","","","","","","","","","","",150,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_117D,,"","","","","","","","","","","","","","",200,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_116D,,"","","","","","","","","","","","","","",250,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_115D,,"","","","","","","","","","","","","","",300,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_114D,,"","","","","","","","","","","","","","",350,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_113D,,"","","","","","","","","","","","","","",400,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_112D,,"","","","","","","","","","","","","","",450,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_111D,,"","","","","","","","","","","","","","",500,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_110D,,"","","","","","","","","","","","","","",550,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_109D,,"","","","","","","","","","","","","","",600,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_108D,,"","","","","","","","","","","","","","",650,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_107D,,"","","","","","","","","","","","","","",700,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_106D,,"","","","","","","","","","","","","","",750,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_105D,,"","","","","","","","","","","","","","",800,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_104D,,"","","","","","","","","","","","","","",850,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_103D,,"","","","","","","","","","","","","","",900,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_102D,,"","","","","","","","","","","","","","",950,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_101D,,"","","","","","","","","","","","","","",1000,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_100D,,"","","","","","","","","","","","","","",1050,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_99D,,"","","","","","","","","","","","","","",1100,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_98D,,"","","","","","","","","","","","","","",1150,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_97D,,"","","","","","","","","","","","","","",1200,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_96D,,"","","","","","","","","","","","","","",1250,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_95D,,"","","","","","","","","","","","","","",1300,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_94D,,"","","","","","","","","","","","","","",1350,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_93D,,"","","","","","","","","","","","","","",1400,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_3035A-9999A-9999E_92D,,"","","","","","","","","","","","","","",1450,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
