Period,CollectionBasisPeriodName,Site,CollectionBasisSiteName,Product,CollectionBasisProductName,BOM,CollectionBasisBOMName,"Constraint Type","Constraint Value","Constraint Period",Status,Notes
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_120D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_119D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_118D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_117D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_116D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_115D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_114D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_113D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_112D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_111D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_110D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_109D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_108D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_107D,"","","",Fixed,0.0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_106D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_105D,"","","",Fixed,0.0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_104D,"","","",Fixed,0.0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_103D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_102D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_101D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_100D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_99D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_98D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_97D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_96D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_95D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_94D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_93D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_92D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_91D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_90D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_89D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_88D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_87D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_86D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_85D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_84D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_83D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_82D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_81D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_80D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_79D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_78D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_77D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_76D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_75D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_74D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_73D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_72D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_71D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_70D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_69D,"","","",Fixed,0.0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_68D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_67D,"","","",Fixed,0.0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_66D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_65D,"","","",Fixed,0.0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_64D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_63D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_62D,"","","",Fixed,0.0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_61D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_60D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_59D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_58D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_57D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_56D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_55D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_54D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_53D,"","","",Fixed,0.0,"",Include,""
0,"",WA007,"",310726_WA002_101_3035A-9999A-9999E_52D,"","","",Fixed,32.0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_120D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_119D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_118D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_117D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_116D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_115D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_114D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_113D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_112D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_111D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_110D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_109D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_108D,"","","",Fixed,0,"",Include,""
0,"",WA007,"",310726_WA002_101_9999A_107D,"","","",Fixed,0,"",Include,""
