Site,Product,"Production Policy","Unit Production Cost","Fixed Order Cost","Fixed Order Time",CO2,"Minimum Order Quantity","Production Frequency",Status,Notes
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_100D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_101D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_102D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_103D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_104D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_105D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_106D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_107D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_108D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_109D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_10D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_110D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_111D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_112D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_113D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_114D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_115D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_116D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_117D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_118D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_119D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_11D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_120D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_12D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_13D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_14D,"","","",1.1,"","","",include,""
