Customer,Product,Source,"Unit Sourcing Cost"
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_120D,WA003,50
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_119D,WA003,100
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_118D,WA003,150
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_117D,WA003,200
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_116D,WA003,250
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_115D,WA003,300
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_114D,WA003,350
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_113D,WA003,400
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_112D,WA003,450
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_111D,WA003,500
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_110D,WA003,550
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_109D,WA003,600
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_108D,WA003,650
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_107D,WA003,700
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_106D,WA003,750
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_105D,WA003,800
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_104D,WA003,850
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_103D,WA003,900
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_102D,WA003,950
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_101D,WA003,1000
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_100D,WA003,1050
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_99D,WA003,1100
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_98D,WA003,1150
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_97D,WA003,1200
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_96D,WA003,1250
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_95D,WA003,1300
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_94D,WA003,1350
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_93D,WA003,1400
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_92D,WA003,1450
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_91D,WA003,1500
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_90D,WA003,1550
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_89D,WA003,1600
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_88D,WA003,1650
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_87D,WA003,1700
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_86D,WA003,1750
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_85D,WA003,1800
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_84D,WA003,1850
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_83D,WA003,1900
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_82D,WA003,1950
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_81D,WA003,2000
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_80D,WA003,2050
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_79D,WA003,2100
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_78D,WA003,2150
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_77D,WA003,2200
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_76D,WA003,2250
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_75D,WA003,2300
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_74D,WA003,2350
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_73D,WA003,2400
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_72D,WA003,2450
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_71D,WA003,2500
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_70D,WA003,2550
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_69D,WA003,2600
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_68D,WA003,2650
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_67D,WA003,2700
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_66D,WA003,2750
(ALL_Customers),310726_WA002_101_3035A-9999A-9999E_65D,WA003,2800
