Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO
88,2755.75,1,310726,1012414702,101,WA002,3001A-3003S-3004A-9999A-9999C-9999CS-9999E,WA007,704606
118,55.115,0,310726,1012434601,101,WA002,3015A-9999A-9999C-9999CS-9999E,WA007,300796840
116,55.115,0,310726,1012434802,101,WA002,3015A-9999A-9999C-9999E,WA007,300799518
116,165.345,0,310726,1012434805,101,WA002,3015A-9999A-9999C-9999E,WA007,300800022
115,55.115,0,310726,1012434916,101,WA002,9999A-9999E,WA007,300802586
107,55.115,0,310726,1012435704,101,WA002,3015A-3035A-9999A-9999C-9999E,WA007,300813936
105,55.115,0,310726,1012435911,101,WA002,3015A-3035A-9999A-9999E,WA007,300817424
104,55.115,0,310726,1012436005,101,WA002,3035A-9999A-9999C-9999E,WA007,300817803
85,55.115,0,310726,1012501304,101,WA002,9999A-9999C-9999CS-9999E,WA007,300842748
84,55.115,0,310726,1012501413,101,WA002,9999A-9999C-9999E,WA007,300844763
83,165.345,0,310726,1012501502,101,WA002,3015A-9999A-9999E,WA007,300845189
69,55.115,0,310726,1012502906,101,WA002,3015A-3035A-9999A-9999E,WA007,300865692
69,55.115,0,310726,1012502908,101,WA002,3015A-9999A-9999C-9999E,WA007,300865810
68,2755.75,1,310726,1012503009,101,WA002,9999A-9999C,WA007,300867321
68,2755.75,1,310726,1012503009,101,WA002,9999A-9999C,WA007,300867322
68,2755.75,1,310726,1012503009,101,WA002,9999A-9999C,WA007,300867348
68,2755.75,1,310726,1012503009,101,WA002,9999A-9999C,WA007,300867350
68,2755.75,1,310726,1012503009,101,WA002,9999A-9999C,WA007,300867353
68,2755.75,1,310726,1012503009,101,WA002,9999A-9999C,WA007,300867358
68,2755.75,1,310726,1012503009,101,WA002,9999A-9999C,WA007,300867359
68,2755.75,1,310726,1012503009,101,WA002,9999A-9999C,WA007,300867371
68,2755.75,1,310726,1012503010,102,WA002,9999A,WA007,300867372
68,2755.75,1,310726,1012503010,102,WA002,9999A,WA007,300867426
68,2755.75,1,310726,1012503010,102,WA002,9999A,WA007,300867469
68,55.115,0,310726,1012503014,101,WA002,9999A-9999C-9999E,WA007,300867715
67,55.115,0,310726,1012503115,101,WA002,3035A-9999A-9999E,WA007,300869486
65,2755.75,1,310726,1012503301,102,WA002,9999A,WA007,300871081
65,2755.75,1,310726,1012503301,102,WA002,9999A,WA007,300871109
65,2755.75,1,310726,1012503301,102,WA002,9999A,WA007,300871110
65,2755.75,1,310726,1012503301,102,WA002,9999A,WA007,300871146
65,2755.75,1,310726,1012503301,102,WA002,9999A,WA007,300871148
65,2755.75,1,310726,1012503301,102,WA002,9999A,WA007,300871182
65,2755.75,1,310726,1012503301,102,WA002,9999A,WA007,300871218
65,2755.75,1,310726,1012503301,102,WA002,9999A,WA007,300871226
65,2755.75,1,310726,1012503302,102,WA002,9999A,WA007,300871238
65,55.115,0,310726,1012503308,101,WA002,9999A-9999C,WA007,300871910
65,110.23,0,310726,1012503315,101,WA002,3035A-9999A-9999E,WA007,300872277
64,55.115,0,310726,1012503404,101,WA002,9999A-9999C-9999E,WA007,300872890
63,2755.75,1,310726,1012503503,102,WA002,9999A,WA007,300873783
63,2755.75,1,310726,1012503503,102,WA002,9999A,WA007,300873789
63,2755.75,1,310726,1012503503,102,WA002,9999A,WA007,300873797
63,2755.75,1,310726,1012503503,102,WA002,9999A,WA007,300873854
63,2755.75,1,310726,1012503503,102,WA002,9999A,WA007,300873855
63,2755.75,1,310726,1012503503,102,WA002,9999A,WA007,300873856
63,2755.75,1,310726,1012503503,102,WA002,9999A,WA007,300873857
63,2755.75,1,310726,1012503503,102,WA002,9999A,WA007,300873870
63,2755.75,1,310726,1012503504,101,WA002,9999A-9999C,WA007,300873872
63,2755.75,1,310726,1012503504,101,WA002,9999A-9999C,WA007,300873878
63,2755.75,1,310726,1012503504,101,WA002,9999A-9999C,WA007,300873879
63,2755.75,1,310726,1012503504,101,WA002,9999A-9999C,WA007,300873880
63,2755.75,1,310726,1012503504,101,WA002,9999A-9999C,WA007,300873897
63,2755.75,1,310726,1012503504,101,WA002,9999A-9999C,WA007,300873898
63,2755.75,1,310726,1012503504,101,WA002,9999A-9999C,WA007,300873899
63,2700.635,1,310726,1012503504,101,WA002,9999A-9999C,WA007,300873914
63,2755.75,1,310726,1012503505,102,WA002,9999A,WA007,300873946
63,2755.75,1,310726,1012503505,102,WA002,9999A,WA007,300873947
63,2755.75,1,310726,1012503505,102,WA002,9999A,WA007,300873948
63,2755.75,1,310726,1012503505,102,WA002,9999A,WA007,300873949
63,2755.75,1,310726,1012503505,102,WA002,9999A,WA007,300873965
63,2755.75,1,310726,1012503505,102,WA002,9999A,WA007,300873966
63,2755.75,1,310726,1012503505,102,WA002,9999A,WA007,300873967
63,2755.75,1,310726,1012503505,102,WA002,9999A,WA007,300873969
63,2755.75,1,310726,1012503506,102,WA002,9999A,WA007,300873977
63,2755.75,1,310726,1012503506,102,WA002,9999A,WA007,300873984
63,2755.75,1,310726,1012503506,102,WA002,9999A,WA007,300873993
63,2755.75,1,310726,1012503506,102,WA002,9999A,WA007,300874001
63,2755.75,1,310726,1012503506,102,WA002,9999A,WA007,300874018
63,2755.75,1,310726,1012503506,102,WA002,9999A,WA007,300874048
63,2755.75,1,310726,1012503506,102,WA002,9999A,WA007,300874049
63,2755.75,1,310726,1012503506,102,WA002,9999A,WA007,300874050
62,55.115,0,310726,1012503601,101,WA002,3035A-9999A-9999E,WA007,300874886
62,110.23,0,310726,1012503602,101,WA002,3035A-9999A-9999E,WA007,300874973
62,110.23,0,310726,1012503603,101,WA002,3035A-9999A-9999E,WA007,300875297
55,2755.75,1,310726,1012504301,101,WA002,9999A-9999C,WA007,300885534
55,2755.75,1,310726,1012504301,101,WA002,9999A-9999C,WA007,300885543
55,2755.75,1,310726,1012504301,101,WA002,9999A-9999C,WA007,300885556
55,2755.75,1,310726,1012504301,101,WA002,9999A-9999C,WA007,300885563
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885565
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885566
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885567
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885568
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885569
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885617
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885618
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885619
55,2755.75,1,310726,1012504303,101,WA002,9999A-9999C,WA007,300885631
55,2755.75,1,310726,1012504303,101,WA002,9999A-9999C,WA007,300885632
55,2755.75,1,310726,1012504303,101,WA002,9999A-9999C,WA007,300885633
55,2755.75,1,310726,1012504303,101,WA002,9999A-9999C,WA007,300885634
