Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO
99,165.345,0,310002,1002502803,102,WA001,9999A,WA001,300864224
82,2755.75,1,310002,1002504503,101,WA001,3405A-9999A-9999E,TX001,300888557
82,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888583
82,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888585
82,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888587
82,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888589
82,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888738
82,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888739
82,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888740
82,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888741
81,2755.75,1,310002,1002504601,102,WA001,9999A,TX001,300889910
71,2755.75,1,310002,1002505603,102,WA001,9999A,WA001,300903921
69,2425.06,1,310002,1002505801,102,WA001,9999A,WA001,300905709
59,1708.565,1,310002,1002506803,102,WA001,9999A,WA001,300920654
57,1102.3,0,310002,1002507004,102,WA001,9999A,WA001,300923687
53,2755.75,1,310002,1002507402,102,WA001,9999A,WA001,300930059
48,2755.75,1,310002,1002507905,101,WA001,3405A-9999A-9999E,WA001,300936989
48,2755.75,1,310002,1002507905,101,WA001,3405A-9999A-9999E,WA001,300936990
17,2755.75,1,310002,1002511003,102,WA001,9999A,WA001,300979080
17,2755.75,1,310002,1002511003,102,WA001,9999A,WA001,300979081
17,2755.75,1,310002,1002511003,102,WA001,9999A,WA001,300979082
17,2755.75,1,310002,1002511003,102,WA001,9999A,WA001,300979083
17,2755.75,1,310002,1002511003,102,WA001,9999A,WA001,300979084
16,2755.75,1,310002,1002511101,102,WA001,9999A,WA001,300980424
16,2755.75,1,310002,1002511101,102,WA001,9999A,WA001,300980425
16,2755.75,1,310002,1002511103,102,WA001,9999A,WA001,300980647
16,2755.75,1,310002,1002511103,102,WA001,9999A,WA001,300980648
16,2755.75,1,310002,1002511103,102,WA001,9999A,WA001,300980649
15,2755.75,1,310002,1002511201,101,WA001,3405A-9999A-9999E,WA001,300982475
15,2755.75,1,310002,1002511201,101,WA001,3405A-9999A-9999E,WA001,300982476
15,2755.75,1,310002,1002511201,101,WA001,3405A-9999A-9999E,WA001,300982477
15,2755.75,1,310002,1002511201,101,WA001,3405A-9999A-9999E,WA001,300982478
14,2755.75,1,310002,1002511302,101,WA001,3405A-9999A-9999E,WA001,300983219
14,2755.75,1,310002,1002511302,101,WA001,3405A-9999A-9999E,WA001,300983237
14,2755.75,1,310002,1002511302,101,WA001,3405A-9999A-9999E,WA001,300983255
14,2755.75,1,310002,1002511302,101,WA001,3405A-9999A-9999E,WA001,300983268
14,2755.75,1,310002,1002511302,101,WA001,3405A-9999A-9999E,WA001,300983286
13,2755.75,1,310002,1002511401,101,WA001,3405A-9999A-9999E,WA001,300984446
13,2755.75,1,310002,1002511401,101,WA001,3405A-9999A-9999E,WA001,300984449
13,2755.75,1,310002,1002511401,101,WA001,3405A-9999A-9999E,WA001,300984602
13,2755.75,1,310002,1002511401,101,WA001,3405A-9999A-9999E,WA001,300984603
13,2755.75,1,310002,1002511401,101,WA001,3405A-9999A-9999E,WA001,300984604
13,2755.75,1,310002,1002511401,101,WA001,3405A-9999A-9999E,WA001,300984605
13,2755.75,1,310002,1002511402,102,WA001,9999A,WA001,300984625
13,2755.75,1,310002,1002511402,102,WA001,9999A,WA001,300984628
13,2755.75,1,310002,1002511402,102,WA001,9999A,WA001,300984630
13,2755.75,1,310002,1002511405,102,WA001,9999A,WA001,300984934
13,2755.75,1,310002,1002511405,102,WA001,9999A,WA001,300984935
