Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO
105,2755.75,1,310002,1002504503,101,WA001,3405A-9999A-9999E,TX001,300888557
105,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888583
105,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888585
105,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888587
105,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888589
105,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888738
105,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888739
105,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888740
105,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888741
104,2755.75,1,310002,1002504601,102,WA001,9999A,TX001,300889910
94,2755.75,1,310002,1002505603,102,WA001,9999A,WA001,300903921
92,2425.06,1,310002,1002505801,102,WA001,9999A,WA001,300905709
82,1708.565,1,310002,1002506803,102,WA001,9999A,TX001,300920654
80,1102.3,0,310002,1002507004,102,WA001,9999A,TX001,300923687
71,2755.75,1,310002,1002507905,101,WA001,3405A-9999A-9999E,TX001,300936989
71,2755.75,1,310002,1002507905,101,WA001,3405A-9999A-9999E,TX001,300936990
39,2755.75,1,310002,1002511103,102,WA001,9999A,TX001,300980647
39,2755.75,1,310002,1002511103,102,WA001,9999A,TX001,300980648
39,2755.75,1,310002,1002511103,102,WA001,9999A,TX001,300980649
38,2755.75,1,310002,1002511201,101,WA001,3405A-9999A-9999E,TX001,300982475
38,2755.75,1,310002,1002511201,101,WA001,3405A-9999A-9999E,TX001,300982476
38,2755.75,1,310002,1002511201,101,WA001,3405A-9999A-9999E,TX001,300982477
38,2755.75,1,310002,1002511201,101,WA001,3405A-9999A-9999E,TX001,300982478
36,2755.75,1,310002,1002511401,101,WA001,3405A-9999A-9999E,TX001,300984605
36,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984625
36,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984628
36,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984630
36,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984644
36,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984651
36,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984652
36,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984705
36,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984737
36,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984755
36,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984756
36,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984757
36,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984782
36,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984784
36,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984785
36,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984792
36,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984796
36,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984821
36,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984822
36,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984823
36,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984824
36,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984853
36,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984854
36,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984855
36,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984856
35,2755.75,1,310002,1002511501,101,WA001,3405A-9999A-9999E,TX001,300986848
35,2755.75,1,310002,1002511501,101,WA001,3405A-9999A-9999E,TX001,300986883
35,2755.75,1,310002,1002511501,101,WA001,3405A-9999A-9999E,TX001,300986889
34,2755.75,1,310002,1002511601,102,WA001,9999A,TX001,300987241
34,2755.75,1,310002,1002511601,102,WA001,9999A,TX001,300987242
34,2755.75,1,310002,1002511601,102,WA001,9999A,TX001,300987243
