Grade,Item#,Sum of Lbs per Pallet,Sum of Max Age at Shipment,Spec
101,310002,2755.75,120,9999A
102,310002,2755.75,120,9999A
102,310002,2755.75,120,9999E
102,310015,2755.75,120,9999A
101,310015,2755.75,120,9999A
101,310015,2755.75,120,3123A
102,310015,2755.75,120,3117A
102,310015,2755.75,120,3132A
102,310015,2755.75,120,9999E
105,310015,2755.75,120,9999A
102,310018,2755.75,120,9999A
101,310086,2200,120,3139A
101,310086,2200,120,3140A
102,310086,2200,120,9999A
101,310724,2755.75,120,3041A
101,310724,2755.75,120,9999E
102,310724,2755.75,120,9999A
102,310724,2755.75,120,9999E
101,310724,2755.75,120,9999A
101,310726,2755.75,120,3002A
101,310726,2755.75,120,3007DRYGUM
101,310726,2755.75,120,3007FO
101,310726,2755.75,120,3007S
101,310726,2755.75,120,3013A
101,310726,2755.75,120,3025S
101,310726,2755.75,120,3033A
101,310726,2755.75,120,3035A
101,310726,2755.75,120,9999A
101,310726,2755.75,120,9999E
102,310726,2755.75,120,9999A
102,310726,2755.75,120,9999E
103,310726,2755.75,120,9999A
105,310741,,120,9999A
105,310742,,120,9999A
105,310746,,120,9999A
101,310768,2200,120,3200A
101,310768,2200,120,9999A
102,310774,2200,120,9999A
102,310808,,120,9999A
105,310808,,120,9999A
105,319001,,120,9999A
102,400203,2755.75,120,9999A
