Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
"","","",Order,"",120,310015,EDI139367,1929,0.6999909280595119,2025-05-12 00:00:00,WA018,9999A
"","","",Order,"",120,310018,EDI135589,1653,0.5998367050712148,2025-04-13 00:00:00,ID012,9999A
"","","",Order,"",120,310018,EDI137776,1653,0.5998367050712148,2025-05-04 00:00:00,ID012,9999A
"","","",Order,"",120,310018,EDI138585,2756,1.0000907194048807,2025-05-07 00:00:00,WA018,9999A
"","","",Order,"",120,310018,EDI139043,5512,2.0001814388097614,2025-05-05 00:00:00,WA018,9999A
"","","",Order,"",120,310018,EDI139051,276,0.1001542229882972,2025-05-10 00:00:00,WA018,9999A
"","","",Order,"",120,310018,EDI139249,827,0.3000997913453688,2025-05-18 00:00:00,ID012,9999A
"","","",Order,"",120,310018,MIT111792,496,0.1799872992833167,2025-05-19 00:00:00,ID012,9999A
"","","",Order,"",120,400203,10004842,,,2024-05-16 00:00:00,"",""
"","","",Order,102,120,310015,10009951,110,0.03991653814750975,2024-10-16 00:00:00,WA001,9999A
"","","",Order,103,120,310726,10015414,36651,13.299827633130725,2025-05-08 00:00:00,WA007,""
ID002,"","",Order,101,120,310015,10014900,5456,1.9798602921164836,2025-04-17 00:00:00,ID010,""
ID002,"","",Order,101,120,310015,233366-1-1-101,41336,14.999909280595118,2025-05-09 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233366-1-1-102,41336,14.999909280595118,2025-05-09 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233366-1-1-103,41336,14.999909280595118,2025-05-13 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233366-1-1-104,41336,14.999909280595118,2025-05-16 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233366-1-1-105,41336,14.999909280595118,2025-05-16 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233367-1-1-101,41336,14.999909280595118,2025-05-06 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233367-1-1-102,41336,14.999909280595118,2025-05-09 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233367-1-1-103,41336,14.999909280595118,2025-05-09 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233367-1-1-104,41336,14.999909280595118,2025-05-13 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233367-1-1-105,41336,14.999909280595118,2025-05-16 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233367-1-1-106,41336,14.999909280595118,2025-05-16 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233367-1-1-107,41336,14.999909280595118,2025-05-19 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233367-1-1-108,41336,14.999909280595118,2025-05-23 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233367-1-1-109,41336,14.999909280595118,2025-05-23 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233367-1-1-110,41336,14.999909280595118,2025-05-27 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310086,232675-1-6-114,44000,20,2025-05-29 00:00:00,ID002,3140A
ID002,"","",Order,101,120,310086,233362-1-1-102,41800,19,2025-05-13 00:00:00,ID002,3139A
ID002,"","",Order,101,120,310086,233362-1-1-103,41800,19,2025-05-13 00:00:00,ID002,3139A
ID002,"","",Order,101,120,310086,233362-1-1-104,41800,19,2025-05-13 00:00:00,ID002,3139A
ID002,"","",Order,101,120,310086,233362-1-1-105,41800,19,2025-05-13 00:00:00,ID002,3139A
ID002,"","",Order,101,120,310768,232513-1-4-110,41800,19,2025-05-16 00:00:00,ID002,3200A
ID002,"","",Order,101,120,310768,232513-1-4-111,41800,19,2025-05-16 00:00:00,ID010,9999A
ID002,"","",Order,101,120,310768,232513-1-5-113,44000,20,2025-05-19 00:00:00,ID002,3200A
ID002,"","",Order,101,120,310768,232513-1-5-114,44000,20,2025-05-21 00:00:00,ID002,3200A
ID002,"","",Order,102,120,310015,232146-1-5-121,41336,14.999909280595118,2025-05-18 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232146-1-5-122,41336,14.999909280595118,2025-05-18 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232146-1-5-123,41336,14.999909280595118,2025-05-18 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232146-1-5-124,41336,14.999909280595118,2025-05-18 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232146-1-5-125,41336,14.999909280595118,2025-05-18 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232678-1-4-106,44092,16,2025-05-20 00:00:00,ID010,3117A
ID002,"","",Order,102,120,310015,232678-1-4-107,44092,16,2025-05-20 00:00:00,ID010,3117A
ID002,"","",Order,102,120,310015,232701-1-5-117,41336,14.999909280595118,2025-05-05 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-5-118,41336,14.999909280595118,2025-05-12 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-5-119,41336,14.999909280595118,2025-05-19 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-5-120,41336,14.999909280595118,2025-05-26 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-6-121,41336,14.999909280595118,2025-05-28 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-6-122,41336,14.999909280595118,2025-05-28 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-6-123,41336,14.999909280595118,2025-05-28 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-6-124,41336,14.999909280595118,2025-05-28 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233089-1-2-106,57871,21.00009071940488,2025-05-29 00:00:00,TX001,9999A
ID002,"","",Order,102,120,310015,233089-1-2-107,57871,21.00009071940488,2025-05-29 00:00:00,TX001,9999A
ID002,"","",Order,102,120,310015,233089-1-2-108,57871,21.00009071940488,2025-05-29 00:00:00,TX001,9999A
ID002,"","",Order,102,120,310015,233089-1-2-109,57871,21.00009071940488,2025-05-29 00:00:00,TX001,9999A
ID002,"","",Order,102,120,310015,233089-1-2-110,57871,21.00009071940488,2025-05-29 00:00:00,TX001,9999A
ID002,"","",Order,102,120,310015,233245-1-1-101,55115,20,2025-05-23 00:00:00,WA007,9999E
ID002,"","",Order,102,120,310015,233245-1-1-102,55115,20,2025-05-23 00:00:00,WA007,9999E
ID002,"","",Order,102,120,310015,233245-1-1-103,55115,20,2025-07-02 00:00:00,WA007,9999E
