Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
"","","",Contract,101,120,310726,233183-1-1,496.0395,0.18000163294928784,2025-05-01 00:00:00,WA007,9999E
"","","",Order,"",120,310015,EDI141788,551,0.19994556835707158,2025-06-06 00:00:00,WA018,9999A
"","","",Order,"",120,310015,EDI142160,2756,1.0000907194048807,2025-06-10 00:00:00,WA018,9999A
"","","",Order,"",120,310015,EDI142222,1929,0.6999909280595119,2025-06-09 00:00:00,WA018,9999A
"","","",Order,"",120,310015,MIT112605,441,0.16002903020956183,2025-06-08 00:00:00,WA018,9999A
"","","",Order,"",120,310018,EDI140064,551,0.19994556835707158,2025-05-18 00:00:00,WA018,9999A
"","","",Order,"",120,310018,EDI141110,2205,0.8001451510478091,2025-06-08 00:00:00,ID012,9999A
"","","",Order,"",120,310018,EDI141230,992,0.3599745985666334,2025-06-02 00:00:00,ID012,9999A
"","","",Order,"",120,310018,EDI141757,55,0.019958269073754874,2025-06-06 00:00:00,WA018,9999A
"","","",Order,"",120,310018,EDI141872,1984,0.7199491971332668,2025-06-04 00:00:00,WA018,9999A
"","","",Order,"",120,310018,EDI141880,2756,1.0000907194048807,2025-06-02 00:00:00,WA018,9999A
"","","",Order,"",120,310018,EDI142013,551,0.19994556835707158,2025-06-09 00:00:00,ID012,9999A
"","","",Order,"",120,310018,EDI142045,2756,1.0000907194048807,2025-06-09 00:00:00,WA018,9999A
"","","",Order,"",120,310018,EDI142164,2756,1.0000907194048807,2025-06-10 00:00:00,WA018,9999A
"","","",Order,"",120,310018,EDI142214,110,0.03991653814750975,2025-06-09 00:00:00,WA018,9999A
"","","",Order,"",120,310018,EDI142361,551,0.19994556835707158,2025-06-10 00:00:00,WA018,9999A
"","","",Order,102,120,310015,10009951,110,0.03991653814750975,2024-10-16 00:00:00,WA001,9999A
"","","",Order,103,120,310726,10016376,41337,15.00027215821464,2025-06-25 00:00:00,WA007,""
"","","",Order,103,120,310726,10016377,35824,12.999727841785356,2025-06-25 00:00:00,WA007,""
"","","",Order,103,120,310726,10016378,40785,14.799963712238048,2025-06-25 00:00:00,WA007,""
"","","",Order,105,120,310015,10015751,41336,14.999909280595118,2025-05-29 00:00:00,ID010,""
"","","",Order,105,120,310015,10015752,41116,14.920076204300099,2025-05-29 00:00:00,ID010,""
"","","",Order,105,120,310015,10015753,41336,14.999909280595118,2025-05-29 00:00:00,ID010,""
"","","",Order,105,120,310015,10015754,41336,14.999909280595118,2025-05-29 00:00:00,ID010,""
"","","",Order,105,120,310015,10015755,41336,14.999909280595118,2025-05-29 00:00:00,ID010,""
ID002,"","",Order,101,120,310015,233510-1-1-116,41336,14.999909280595118,2025-06-06 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233510-1-1-117,41336,14.999909280595118,2025-06-06 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233510-1-1-118,41336,14.999909280595118,2025-06-06 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233510-1-1-119,41336,14.999909280595118,2025-06-09 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233510-1-1-120,41336,14.999909280595118,2025-06-10 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233510-1-1-121,41336,14.999909280595118,2025-06-13 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233510-1-1-122,41336,14.999909280595118,2025-06-17 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233510-1-1-123,41336,14.999909280595118,2025-06-13 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233510-1-1-124,41336,14.999909280595118,2025-06-16 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233510-1-1-125,41336,14.999909280595118,2025-06-17 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233510-1-1-126,41336,14.999909280595118,2025-06-20 00:00:00,ID002,3123A
ID002,"","",Order,101,120,310015,233510-1-1-127,41336,14.999909280595118,2025-06-20 00:00:00,ID002,3123A
