Scenario,Customer Name,Product Name,Period Name,Organization Name,Demand Status,Total Demand,Served Demand,Unserved Demand,Percentage Total Demand Fulfilled,Potential Revenue,Actual Revenue,Lost Revenue,Total Demand Penalty Cost,Fulfillment ID,Priority,Demanded Period,Received Period,Periods Late,Periods Early,Remaining Demand Quantity,Late Demand Penalty Cost,Early Demand Penalty Cost,Total Unserved Demand Penalty Cost,Scenario ID,Sub-Scenario ID
any_whs,O_232380-1-1-101,310002_WA001_102_9999A,1,,Served,40,40,0,100,0,0,0,0,,0,2,2,,,,0,0,0,2,1
any_whs,O_233119-1-1-101,310002_WA001_102_9999A,1,,Served,20,20,0,100,0,0,0,0,,0,2,2,,,,0,0,0,2,1
any_whs,O_233376-1-1-101,310015_ID002-WA001_102_9999A,1,,Served,0.5,0.5,0,100,0,0,0,0,,0,2,2,,,,0,0,0,2,1
any_whs,O_233376-1-1-102,310015_ID002-WA001_102_9999A,1,,Served,0.1,0.1,0,100,0,0,0,0,,0,2,2,,,,0,0,0,2,1
any_whs,O_233376-1-1-103,310015_ID002-WA001_102_9999A,1,,Served,0.5,0.5,0,100,0,0,0,0,,0,2,2,,,,0,0,0,2,1
any_whs,O_233376-1-1-104,310015_ID002-WA001_102_9999A,1,,Served,0.4,0.4,0,100,0,0,0,0,,0,2,2,,,,0,0,0,2,1
any_whs,O_233376-1-1-105,310015_ID002-WA001_102_9999A,1,,Served,0.2,0.2,0,100,0,0,0,0,,0,2,2,,,,0,0,0,2,1
any_whs,O_233376-1-1-106,310015_ID002-WA001_102_9999A,1,,Served,0.2,0.2,0,100,0,0,0,0,,0,2,2,,,,0,0,0,2,1
any_whs,O_233376-1-1-107,310015_ID002-WA001_102_9999A,1,,Served,0.1,0.1,0,100,0,0,0,0,,0,2,2,,,,0,0,0,2,1
any_whs,O_233376-1-1-108,310015_ID002-WA001_102_9999A,1,,Served,0.1,0.1,0,100,0,0,0,0,,0,2,2,,,,0,0,0,2,1
any_whs,O_233016-1-2-104,310015_WA001_102_9999E,1,,Served,15,15,0,100,0,0,0,0,,0,2,2,,,,0,0,0,2,1
any_whs,O_232865-1-3-108,310724_WA002_102_9999E,1,,Served,120,120,0,100,0,0,0,0,,0,2,2,,,,0,0,0,2,1
any_whs,O_232487-1-2-107,310002_WA001_102_9999A,3,,Served,15,15,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233017-1-1-102,310002_WA001_102_9999E,3,,Served,15,15,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233366-1-1-101,310015_ID002_101_3123A,3,,Served,15,15,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233366-1-1-102,310015_ID002_101_3123A,3,,Served,15,15,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233367-1-1-102,310015_ID002_101_3123A,3,,Served,15,15,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233367-1-1-103,310015_ID002_101_3123A,3,,Served,15,15,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233287-1-1-101,310015_ID002_102_9999A,3,,Served,15,15,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233329-1-1-101,310015_WA001_102_9999A,3,,Served,20,20,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233329-1-1-102,310015_WA001_102_9999A,3,,Served,20,20,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233336-1-1-111,310015_WA002_102_9999A,3,,Served,15,15,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233336-1-1-112,310015_WA002_102_9999A,3,,Served,15,15,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233336-1-1-113,310015_WA002_102_9999A,3,,Served,15,15,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233336-1-1-114,310015_WA002_102_9999A,3,,Served,15,15,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_233336-1-1-115,310015_WA002_102_9999A,3,,Served,15,15,0,100,0,0,0,0,,0,4,4,,,,0,0,0,2,1
any_whs,O_232663-1-1-103,310726_WA002_101_3035A,4,,Partially Served,20,7,13,35,0,0,0,12610013,,0,5,5,,,,0,0,12610013,2,1
any_whs,O_233296-1-1-101,310726_WA003-WA002_101_9999E,4,,Served,80,80,0,100,0,0,0,0,,0,5,5,,,,0,0,0,2,1
any_whs,O_233296-1-1-102,310726_WA003-WA002_101_9999E,4,,Served,80,80,0,100,0,0,0,0,,0,5,5,,,,0,0,0,2,1
any_whs,O_232381-1-2-102,310726_WA003-WA002_102_9999A,4,,Served,40,40,0,100,0,0,0,0,,0,5,5,,,,0,0,0,2,1
any_whs,O_233211-1-1-101,310726_WA003_101_3033A,5,,Served,8,8,0,100,0,0,0,0,,0,6,6,,,,0,0,0,2,1
any_whs,O_232701-1-5-118,310015_ID002_102_9999A,6,,Served,15,15,0,100,0,0,0,0,,0,7,7,,,,0,0,0,2,1
any_whs,O_233156-1-2-105,310015_WA001_102_9999A,6,,Served,15,15,0,100,0,0,0,0,,0,7,7,,,,0,0,0,2,1
any_whs,O_233329-1-1-103,310015_WA001_102_9999A,6,,Served,20,20,0,100,0,0,0,0,,0,7,7,,,,0,0,0,2,1
any_whs,O_233329-1-1-104,310015_WA001_102_9999A,6,,Served,20,20,0,100,0,0,0,0,,0,7,7,,,,0,0,0,2,1
any_whs,O_233329-1-1-105,310015_WA001_102_9999A,6,,Served,20,20,0,100,0,0,0,0,,0,7,7,,,,0,0,0,2,1
any_whs,O_10015690,310015_WA003_102_9999A,6,,Partially Served,15,8,7,53.33333333,0,0,0,6685007,,0,7,7,,,,0,0,6685007,2,1
any_whs,O_232948-1-1-102,310726_WA003-WA002_101_9999E,6,,Served,20,20,0,100,0,0,0,0,,0,7,7,,,,0,0,0,2,1
any_whs,O_232483-1-3-107,310774_WA001_102_9999A,6,,Served,19,19,0,100,0,0,0,0,,0,7,7,,,,0,0,0,2,1
any_whs,O_233315-1-1-101,310002_WA001_101_9999A,7,,Served,40,40,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233366-1-1-103,310015_ID002_101_3123A,7,,Served,15,15,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233367-1-1-104,310015_ID002_101_3123A,7,,Served,15,15,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233320-1-1-117,310015_WA001_102_9999A,7,,Served,15,15,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233320-1-1-118,310015_WA001_102_9999A,7,,Served,15,15,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233320-1-1-119,310015_WA001_102_9999A,7,,Served,15,15,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233362-1-1-102,310086_ID002_101_3139A,7,,Served,19,19,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233362-1-1-103,310086_ID002_101_3139A,7,,Served,19,19,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233362-1-1-104,310086_ID002_101_3139A,7,,Served,19,19,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233362-1-1-105,310086_ID002_101_3139A,7,,Served,19,19,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_232935-1-2-102,310724_WA002_102_9999E,7,,Served,40,40,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233397-1-1-101,310726_WA003-WA002_102_9999A,7,,Served,20,20,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233397-1-1-102,310726_WA003-WA002_102_9999A,7,,Served,20,20,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233397-1-1-103,310726_WA003-WA002_102_9999A,7,,Served,20,20,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233397-1-1-104,310726_WA003-WA002_102_9999A,7,,Served,20,20,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233397-1-1-105,310726_WA003-WA002_102_9999A,7,,Served,20,20,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233397-1-1-106,310726_WA003-WA002_102_9999A,7,,Served,20,20,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233397-1-1-107,310726_WA003-WA002_102_9999A,7,,Served,20,20,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
any_whs,O_233397-1-1-108,310726_WA003-WA002_102_9999A,7,,Served,20,20,0,100,0,0,0,0,,0,8,8,,,,0,0,0,2,1
