Scenario,Source Name,Departing Period Name,Customer Name,Arriving Period Name,Product Name,Temperature Class,Hazardous Goods,Organization Name,Mode,Total Demand,Total Demand Served,Shipment Size,Shipment Size Basis,Flow Units,Flow Weight,Flow Cubic,Service Hours,Service Distance,Flow Revenue,Outbound Warehousing Policy Cost,Transportation Policy Cost,Sourcing Policy Cost,Duty Cost,In Transit Inventory,Intransit Inventory Holding Cost,CO2,CO2 Cost,Total Cost,Lead Time Cost,Sourcing Process Cost,Transportation Process Cost,Outbound Inventory Process Cost,Total Outbound Warehousing Cost,Total Sourcing Cost,Total Transportation Cost,Departing Period Number,Arriving Period Number,Scenario ID,Sub-Scenario ID
any_whs,ID002,12,O_232146-1-5-124,12,310015_ID002_101_3117A-9999A_48D,Standard,False,NONE,1,15,1,1,Quantity,1,1,1,0,0,0,0,0,730,0,0,0,0,0,730,0,0,0,0,0,730,0,13,13,2,1
any_whs,ID002,10,O_232513-1-4-110,10,310768_ID002_101_3200A-9999A_36D,Standard,False,NONE,1,19,19,1,Quantity,19,19,19,0,0,0,0,0,16150,0,0,0,0,0,16150,0,0,0,0,0,16150,0,11,11,2,1
any_whs,ID002,10,O_232513-1-4-111,10,310768_ID002_101_3200A-9999A_36D,Standard,False,NONE,1,19,13,1,Quantity,13,13,13,0,0,0,0,0,11050,0,0,0,0,0,11050,0,0,0,0,0,11050,0,11,11,2,1
any_whs,ID002,23,O_233091-1-2-103,23,310086_ID002_101_3139A-3140A-9999A_73D,Standard,False,NONE,1,23,1,1,Quantity,1,1,1,0,0,0,0,0,480,0,0,0,0,0,480,0,0,0,0,0,480,0,24,24,2,1
any_whs,ID002,23,O_233091-1-2-103,23,310086_ID002_101_3140A-9999A_55D,Standard,False,NONE,1,23,2,1,Quantity,2,2,2,0,0,0,0,0,1320,0,0,0,0,0,1320,0,0,0,0,0,1320,0,24,24,2,1
any_whs,ID002,23,O_233091-1-2-103,23,310086_ID002_102_9999A_93D,Standard,False,NONE,1,23,7,1,Quantity,7,7,7,0,0,0,0,0,1960,0,0,0,0,0,1960,0,0,0,0,0,1960,0,24,24,2,1
any_whs,ID002,10,O_233366-1-1-105,10,310015_ID002_101_3117A-3123A-9999A-9999E_40D,Standard,False,NONE,1,15,3,1,Quantity,3,3,3,0,0,0,0,0,2430,0,0,0,0,0,2430,0,0,0,0,0,2430,0,11,11,2,1
any_whs,ID002,23,O_233369-1-1-114,23,310015_ID002_101_3117A-3123A-9999A-9999E_62D,Standard,False,NONE,1,21,5,1,Quantity,5,5,5,0,0,0,0,0,2950,0,0,0,0,0,2950,0,0,0,0,0,2950,0,24,24,2,1
any_whs,ID010,12,O_232146-1-5-123,12,310015_ID002_101_3117A-3123A-9999A-9999E_32D,Standard,False,NONE,1,15,15,1,Quantity,15,15,15,0,0,0,0,0,13350,0,0,0,0,0,13350,0,0,0,0,0,13350,0,13,13,2,1
any_whs,ID010,25,O_232501-1-6-122,25,310015_ID002_101_3117A-3123A-9999A-9999E_44D,Standard,False,NONE,1,15,15,1,Quantity,15,15,15,0,0,0,0,0,11550,0,0,0,0,0,11550,0,0,0,0,0,11550,0,26,26,2,1
any_whs,ID010,25,O_232501-1-6-124,25,310015_ID002_101_3117A-3123A-9999A-9999E_43D,Standard,False,NONE,1,15,12,1,Quantity,12,12,12,0,0,0,0,0,9360,0,0,0,0,0,9360,0,0,0,0,0,9360,0,26,26,2,1
any_whs,ID010,23,O_232675-1-6-114,23,310086_ID002_101_3139A-3140A-9999A_55D,Standard,False,NONE,1,20,18,1,Quantity,18,18,18,0,0,0,0,0,11880,0,0,0,0,0,11880,0,0,0,0,0,11880,0,24,24,2,1
any_whs,ID010,23,O_232675-1-6-114,23,310086_ID002_101_3140A_87D,Standard,False,NONE,1,20,2,1,Quantity,2,2,2,0,0,0,0,0,680,0,0,0,0,0,680,0,0,0,0,0,680,0,24,24,2,1
any_whs,ID010,14,O_232678-1-4-107,14,310015_ID002_101_3117A-3123A-9999A_30D,Standard,False,NONE,1,16,8,1,Quantity,8,8,8,0,0,0,0,0,7280,0,0,0,0,0,7280,0,0,0,0,0,7280,0,15,15,2,1
any_whs,ID010,20,O_232701-1-5-120,20,310015_ID002_101_3117A-3123A-9999A-9999E_39D,Standard,False,NONE,1,15,12,1,Quantity,12,12,12,0,0,0,0,0,9840,0,0,0,0,0,9840,0,0,0,0,0,9840,0,21,21,2,1
any_whs,ID010,26,O_232807-1-2-134,26,310015_ID002_101_3117A-3123A-9999A_118D,Standard,False,NONE,1,20,1,1,Quantity,1,1,1,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,30,0,27,27,2,1
