,LOT_NO,SUBLOT_NO,join_col
0,1002504503,300888557,TX001310002WA0011019999A-9999E82
1,1002504504,300888583,TX001310002WA0011019999A-9999E82
2,1002504504,300888585,TX001310002WA0011019999A-9999E82
3,1002504504,300888587,TX001310002WA0011019999A-9999E82
4,1002504504,300888589,TX001310002WA0011019999A-9999E82
5,1002504504,300888738,TX001310002WA0011019999A-9999E82
6,1002504504,300888739,TX001310002WA0011019999A-9999E82
7,1002504504,300888740,TX001310002WA0011019999A-9999E82
8,1002504504,300888741,TX001310002WA0011019999A-9999E82
9,1002504601,300889910,TX001310002WA0011029999A81
10,1002505603,300903921,WA001310002WA0011029999A71
11,1002505801,300905709,WA001310002WA0011029999A69
12,1002506803,300920654,WA001310002WA0011029999A59
13,1002507402,300930059,WA001310002WA0011029999A53
14,1002507905,300936989,WA001310002WA0011019999A-9999E48
15,1002507905,300936990,WA001310002WA0011019999A-9999E48
16,1002511003,300979080,WA001310002WA0011029999A17
17,1002511003,300979081,WA001310002WA0011029999A17
18,1002511003,300979082,WA001310002WA0011029999A17
19,1002511003,300979083,WA001310002WA0011029999A17
20,1002511003,300979084,WA001310002WA0011029999A17
21,1002511101,300980424,WA001310002WA0011029999A16
22,1002511101,300980425,WA001310002WA0011029999A16
23,1002511103,300980647,WA001310002WA0011029999A16
24,1002511103,300980648,WA001310002WA0011029999A16
25,1002511103,300980649,WA001310002WA0011029999A16
26,1002511201,300982475,WA001310002WA0011019999A-9999E15
27,1002511201,300982476,WA001310002WA0011019999A-9999E15
28,1002511201,300982477,WA001310002WA0011019999A-9999E15
29,1002511201,300982478,WA001310002WA0011019999A-9999E15
30,1002511302,300983219,WA001310002WA0011019999A-9999E14
31,1002511302,300983237,WA001310002WA0011019999A-9999E14
32,1002511302,300983255,WA001310002WA0011019999A-9999E14
33,1002511302,300983268,WA001310002WA0011019999A-9999E14
34,1002511302,300983286,WA001310002WA0011019999A-9999E14
35,1002511401,300984446,WA001310002WA0011019999A-9999E13
36,1002511401,300984449,WA001310002WA0011019999A-9999E13
37,1002511401,300984602,WA001310002WA0011019999A-9999E13
38,1002511401,300984603,WA001310002WA0011019999A-9999E13
39,1002511401,300984604,WA001310002WA0011019999A-9999E13
40,1002511401,300984605,WA001310002WA0011019999A-9999E13
41,1002511402,300984625,WA001310002WA0011029999A13
42,1002511402,300984628,WA001310002WA0011029999A13
43,1002511402,300984630,WA001310002WA0011029999A13
44,1002511405,300984934,WA001310002WA0011029999A13
45,1002511405,300984935,WA001310002WA0011029999A13
46,1002511405,300984936,WA001310002WA0011029999A13
47,1002511405,300984937,WA001310002WA0011029999A13
48,1002511405,300984938,WA001310002WA0011029999A13
49,1002511405,300984939,WA001310002WA0011029999A13
50,1002511405,300984940,WA001310002WA0011029999A13
51,1002511405,300984941,WA001310002WA0011029999A13
