,join_col,Customer Name,SHIP_DATE,LOT_NO,SUBLOT_NO
0,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510021,300965914
1,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510021,300965916
2,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510021,300965917
3,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510021,300965918
4,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510021,300965919
5,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510021,300965921
6,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510021,300965922
7,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510021,300965923
8,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510022,300965953
9,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510022,300965954
10,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510022,300965955
11,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510022,300965956
12,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510022,300965957
13,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510022,300965958
14,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510022,300965964
15,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510022,300965965
16,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510023,300966056
17,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510023,300966057
18,ID002310768ID0021013200A-9999A27,O_232513-1-4-110,2025-05-16,1052510023,300966058
19,ID002310768ID0021013200A-9999A27,O_232513-1-5-113,2025-05-19,1052510023,300966059
20,ID002310768ID0021013200A-9999A27,O_232513-1-5-113,2025-05-19,1052510023,300966060
21,ID002310768ID0021013200A-9999A27,O_232513-1-5-113,2025-05-19,1052510023,300966061
22,ID002310768ID0021013200A-9999A27,O_232513-1-5-113,2025-05-19,1052510023,300966062
23,ID002310768ID0021013200A-9999A27,O_232513-1-5-113,2025-05-19,1052510023,300966063
24,ID002310768ID0021013200A-9999A27,O_232513-1-5-113,2025-05-19,1052510024,300966122
25,ID002310768ID0021013200A-9999A27,O_232513-1-5-113,2025-05-19,1052510024,300966123
26,ID002310768ID0021013200A-9999A27,O_232513-1-5-113,2025-05-19,1052510024,300966124
27,ID002310768ID0021013200A-9999A27,O_232513-1-5-113,2025-05-19,1052510024,300966125
28,ID002310768ID0021013200A-9999A27,O_232513-1-5-113,2025-05-19,1052510024,300966126
29,ID002310768ID0021013200A-9999A27,O_232513-1-5-113,2025-05-19,1052510024,300966127
30,ID002310768ID0021013200A-9999A27,O_232513-1-5-113,2025-05-19,1052510024,300966129
31,ID002310086ID0021013140A-9999A14,O_232675-1-6-114,2025-05-29,1052511332,300982953
32,ID002310086ID0021013140A-9999A14,O_232675-1-6-114,2025-05-29,1052511332,300982954
33,ID002310086ID0021013140A-9999A33,O_232675-1-6-114,2025-05-29,1052509437,300957045
34,ID002310086ID0021013140A-9999A33,O_232675-1-6-114,2025-05-29,1052509437,300957061
35,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511801,300989474
36,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511801,300989475
37,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511801,300989476
38,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511801,300989478
39,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511801,300989479
40,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511802,300989492
41,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511802,300989493
42,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511802,300989495
43,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511802,300989496
44,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511802,300989546
45,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511802,300989547
46,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511802,300989548
47,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511802,300989549
48,ID002310015ID0021013117A-3123A-9999A-9999E9,O_233287-1-1-101,2025-05-09,1052511803,300989577
49,ID002310015ID0021013117A-9999A37,O_233287-1-1-101,2025-05-09,1052509012,300951687
50,ID002310086ID0021013139A-3140A-9999A18,O_233362-1-1-102,2025-05-13,1052510931,300978305
51,ID002310086ID0021013139A-3140A-9999A18,O_233362-1-1-102,2025-05-13,1052510931,300978306
